timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1633608000,Oct 07 2021 - 12:00pm,complete,N/A,Indonesia,Taiwan,N/A,N/A,0.00,0.00,2.40,0.00,2,1,3,1,1,0,"16,48","90",-1,-1,2,0,3,0,0,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,N/A
1633800600,Oct 09 2021 - 5:30pm,complete,N/A,Guam,Cambodia,N/A,N/A,0.00,0.00,0.00,1.40,0,1,1,1,0,1,"","26",-1,-1,1,0,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Bahrain National Stadium
1633957200,Oct 11 2021 - 1:00pm,complete,N/A,Taiwan,Indonesia,N/A,N/A,0.00,3.00,0.00,2.40,0,3,3,1,0,1,"","27,55,90'3",-1,-1,0,0,1,0,0,0,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,3.00,100,100,100,0,0,0,100,100,100,0.00,5.00,4.50,3.75,1.18,0.00,0.00,0.00,0.00,1.91,1.83,N/A
1634054400,Oct 12 2021 - 4:00pm,complete,N/A,Cambodia,Guam,N/A,N/A,3.00,0.00,1.40,0.00,2,1,3,1,0,1,"51,55","36",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.00,0.00,0.00,0.00,1.00,0,0,0,0,0,0,100,0,0,0.00,1.00,1.91,3.50,3.30,1.08,1.34,1.87,2.85,0.00,0.00,Bahrain National Stadium
1654662600,Jun 08 2022 - 4:30am,complete,N/A,Philippines,Yemen,N/A,1,0.00,0.00,1.33,0.33,0,0,0,0,0,0,"","",3,2,-1,-1,-1,-1,-1,-1,-1,-1,14,13,6,9,8,4,-1,-1,62,38,0.00,0.00,1.89,1.88,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.62,3.00,2.20,1.50,2.50,4.50,9.00,2.10,1.67,N/A
1654678800,Jun 08 2022 - 9:00am,complete,N/A,Palestine,Mongolia,N/A,1,0.00,0.00,3.00,1.00,1,0,1,0,0,0,"85","",8,8,-1,-1,-1,-1,-1,-1,-1,-1,18,7,9,3,9,4,-1,-1,62,38,0.00,0.00,2.33,1.07,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.06,7.80,21.00,1.36,2.10,3.75,7.00,2.50,1.50,N/A
1654679700,Jun 08 2022 - 9:15am,complete,N/A,Bahrain,Bangladesh,N/A,1,0.00,0.00,3.00,0.00,2,0,2,2,2,0,"34,42","",8,0,0,0,0,0,0,0,0,0,16,3,12,0,4,3,8,10,66,34,0.00,0.00,2.69,0.54,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.02,10.00,13.00,1.29,1.53,3.24,6.15,4.00,1.22,Stadium Nasional Bukit Jalil
1654684200,Jun 08 2022 - 10:30am,complete,N/A,Tajikistan,Myanmar,N/A,1,0.00,0.00,2.33,0.00,4,0,4,1,1,0,"9,56,57,84","",7,5,0,0,0,0,0,0,0,0,16,7,10,3,6,4,11,12,56,44,0.00,0.00,2.26,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.02,7.50,12.00,1.14,1.44,2.03,3.40,2.38,1.53,Stadion im. Dolena Omurzakova
1654687800,Jun 08 2022 - 11:30am,complete,N/A,Hong Kong,Afghanistan,N/A,1,0.00,0.00,2.00,0.33,2,1,3,2,2,0,"24,27","81",5,7,-1,-1,-1,-1,-1,-1,-1,-1,11,6,7,4,4,2,-1,-1,52,48,0.00,0.00,1.59,1.31,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.50,3.00,1.50,1.45,2.50,4.32,8.00,2.10,1.67,N/A
1654689600,Jun 08 2022 - 12:00pm,complete,N/A,Thailand,Maldives,N/A,1,0.00,0.00,2.00,1.00,3,0,3,2,2,0,"40,45'2,80","",3,3,0,0,0,0,0,0,0,0,15,5,7,0,8,5,12,6,50,50,0.00,0.00,2.14,0.60,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.03,6.80,11.00,1.14,1.44,2.10,3.50,2.14,1.67,Markaziy Stadion
