timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1497711600,Jun 17 2017 - 3:00pm,complete,N/A,Russia,New Zealand,Wilmar Alexander Roldán Pérez,1,0.00,0.00,1.00,0.00,2,0,2,1,1,0,"31,69","",12,2,0,0,0,0,0,0,0,0,15,9,8,4,7,5,11,12,53,47,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Saint-Petersburg Stadium (Sankt-Peterburg (St. Petersburg))
1497798000,Jun 18 2017 - 3:00pm,complete,N/A,Portugal,Mexico,Néstor Fabián Pitana,1,0.00,0.00,2.20,1.40,2,2,4,2,1,1,"34,86","42,90'1",2,3,2,0,1,0,0,2,0,1,10,14,6,4,4,10,14,13,44,56,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Kazan' Arena (Kazan')
1497808800,Jun 18 2017 - 6:00pm,complete,N/A,Cameroon,Chile,Damir Skomina,1,0.00,0.00,0.33,1.20,0,2,2,0,0,0,"","81,90'1",5,5,0,0,1,0,0,0,0,1,8,15,3,8,5,7,12,8,38,62,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Otkrytiye Arena (Moskva)
1497884400,Jun 19 2017 - 3:00pm,complete,N/A,Australia,Germany,Mark Geiger,1,0.00,0.00,0.67,2.60,2,3,5,3,1,2,"41,56","5,44,48",1,4,1,0,1,0,0,1,0,1,4,13,3,4,1,9,10,7,41,59,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Olimpiyskiy Stadion Fisht (Sochi)
1498057200,Jun 21 2017 - 3:00pm,complete,42759,Russia,Portugal,N/A,2,3.00,1.00,1.00,2.20,0,1,1,1,0,1,"","8",3,2,3,0,2,0,1,2,0,2,5,9,0,6,5,3,12,8,49,51,0.00,0.00,0.00,0.00,3.00,50,100,50,50,0,50,100,50,100,14.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Otkrytiye Arena
1498068000,Jun 21 2017 - 6:00pm,complete,25133,Mexico,New Zealand,N/A,2,1.00,0.00,1.40,0.00,2,1,3,1,0,1,"54,72","42",7,5,2,0,2,0,0,2,1,1,18,6,11,4,7,2,15,18,53,47,0.00,0.00,0.00,0.00,3.00,50,100,50,50,0,50,100,50,100,5.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Olimpiyskiy Stadion Fisht (Sochi)
1498143600,Jun 22 2017 - 3:00pm,complete,35021,Cameroon,Australia,N/A,2,0.00,0.00,0.33,0.67,1,1,2,1,1,0,"45'1","60",8,2,2,0,1,0,0,2,0,1,14,7,4,3,10,4,13,11,44,56,0.00,0.00,0.00,0.00,3.50,50,100,50,50,50,50,50,100,100,6.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Saint-Petersburg Stadium
1498154400,Jun 22 2017 - 6:00pm,complete,38222,Germany,Chile,N/A,2,3.00,3.00,2.60,1.20,1,1,2,2,1,1,"41","6",1,4,2,0,2,0,1,1,0,2,9,11,5,4,4,7,13,19,49,51,0.00,0.00,0.00,0.00,3.50,50,100,50,50,50,50,50,100,100,9.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Kazan' Arena
1498316400,Jun 24 2017 - 3:00pm,complete,41585,Mexico,Russia,N/A,3,2.00,1.50,1.40,1.00,2,1,3,2,1,1,"30,52","25",0,0,2,0,4,1,1,1,1,4,10,10,7,3,3,7,7,20,57,43,0.00,0.00,0.00,0.00,2.50,50,75,50,25,0,25,100,50,75,12.50,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Kazan' Arena
1498316400,Jun 24 2017 - 3:00pm,complete,56290,New Zealand,Portugal,N/A,3,0.00,2.00,0.00,2.20,0,4,4,2,0,2,"","33,37,80,90'1",1,12,2,0,2,0,1,1,1,1,10,13,6,9,4,4,14,6,40,60,0.00,0.00,0.00,0.00,2.50,50,75,50,25,0,25,100,50,75,5.50,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Saint-Petersburg Stadium
