team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Jordan National Team,Jordan,2023,Jordan,3,2,1,0,3,2,1,0,0,0,0,0,0,3,3,3,1,0,0,5,6,0,6,6,5,1,5,1,0,0,5,1,45,36,90,0,0,0,3,2,1,0,0,0,0,0,0,3,2,1,25,14,11,0,0,0,52,50,55,54,41,13,23,19,4,31,22,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,1,1,2,2.5,1,2,2.5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,1,2,3,3,3,0,0,1,2,2,2,0,1,1,1,1,1,100,67,33,0,0,0,100,100,50,0,0,0,100,0,0,0,0,0,0,33,67,100,100,100,0,0,50,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,100,100,100,0,0,0,0,0,0,100,100,100,3,2,1,100,100,100,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,8.33,7.00,11.00,0,0,0.00,100,100,67,67,67,67,33,33,2.33,2.66,1.68,0.88,0.80,1.05,33,0,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
India National Team,India,2023,India,3,2,1,0,3,2,1,0,0,0,0,0,0,3,3,3,1,0,0,4,8,1,7,9,6,3,6,2,0,1,6,1,34,30,45,273,0,90,2,2,0,1,0,1,0,0,0,3,2,1,26,14,12,0,0,0,56,56,57,49,38,11,26,20,6,23,18,5,0,0,0,3,3,0,0,0,0,3,3,0,2,2,0,1,0,1,0,0,0,2.33,3,1,3,3,3,2.67,3,2,0.33,0,1,1,1.5,0,1,1.5,0,0,0,0,3,3,2,1,0,0,2,2,1,1,0,0,1,1,1,0,0,0,0,0,1,2,3,3,0,0,1,1,2,2,0,0,0,1,1,1,100,100,67,33,0,0,100,100,50,50,0,0,100,100,100,0,0,0,0,0,33,67,100,100,0,0,50,50,100,100,0,0,0,100,100,100,2,1,0,2,1,0,0,0,0,67,33,0,100,50,0,0,0,0,100,100,100,56,67,100,0,33,0,100,0,0,0,100,100,100,3,2,1,100,100,100,1,0,1,33,0,100,0,0,0,0,0,0,67,100,0,33,0,100,0,0,0,8.67,7.00,12.00,0,0,0.00,100,100,67,67,67,33,33,33,2.27,2.56,1.69,1.17,0.96,1.59,100,1,1,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,33
Bangladesh National Team,Bangladesh,2023,Bangladesh,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,21,2,8,-6,10,3,7,1,1,2,6,-1,-5,134,90,180,34,45,30,0,0,0,2,1,1,1,0,1,0,0,0,7,6,1,0,0,0,35,35,36,18,11,7,7,5,2,11,6,5,20,10,10,2,1,1,5,1,4,-3,0,-3,0,0,0,1,1,0,2,0,2,0.33,1,0,3.33,3,3.5,0.67,1,0.5,2.67,2,3,2.33,2,2.5,0.67,1,0.5,1.67,1,2,3,3,2,1,1,0,1,1,1,0,0,0,2,2,1,1,1,0,0,0,1,2,2,3,0,0,0,1,1,1,0,0,1,1,1,2,100,100,67,33,33,0,100,100,100,0,0,0,100,100,50,50,50,0,0,0,33,67,67,100,0,0,0,100,100,100,0,0,50,50,50,100,3,3,1,1,1,0,2,2,1,100,100,33,100,100,0,100,100,50,0,0,0,37,0,0,0,67,100,50,33,0,50,0,0,0,0,0,0,0,0,0,1,0,1,33,0,50,2,1,1,67,100,50,0,0,0,33,100,0,67,0,100,2.33,6.00,0.50,0,0,0.00,67,67,33,33,33,33,33,33,0.83,1.33,0.59,2.28,1.50,2.67,133,0,1,0,1,0,0,0,0,0,1,1,0,2,2,0,0,2,0,0,0,0,100,100,100,33
Bahrain National Team,Bahrain,2023,Bahrain,3,2,1,0,3,2,1,0,0,0,0,0,0,3,3,3,1,0,0,6,5,1,4,6,3,3,3,2,0,1,3,1,54,60,45,273,0,90,2,2,0,1,0,1,0,0,0,2,2,0,15,15,0,0,0,0,57,62,48,34,25,9,22,18,4,12,7,5,16,10,6,3,3,0,0,0,0,3,3,0,2,2,0,1,0,1,0,0,0,2.33,3,1,2,1.5,3,1.67,1.5,2,0.33,0,1,1,1.5,0,1,1.5,0,0,0,0,3,2,1,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,1,2,3,3,3,0,1,2,2,2,2,0,0,0,1,1,1,100,67,33,0,0,0,100,50,0,0,0,0,100,100,100,0,0,0,0,33,67,100,100,100,0,50,100,100,100,100,0,0,0,100,100,100,2,1,0,2,1,0,0,0,0,67,33,0,100,50,0,0,0,0,100,100,100,45,67,100,0,33,0,100,0,0,0,67,100,0,3,2,1,100,100,100,1,0,1,33,0,100,0,0,0,0,0,0,67,100,0,33,0,100,0,0,0,5.00,7.50,0.00,0,0,0.00,67,67,33,33,33,33,33,33,1.84,2.18,1.18,1.22,1.04,1.58,67,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33
Taiwan National Team,Taiwan,2023,Taiwan,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,23,1,5,-4,6,3,3,0,1,3,2,-3,-1,180,0,90,36,30,45,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2,-1,-1,0,0,0,0,0,0,2,1,1,0,0,0,3,3,3,0.5,0,1,2.5,3,2,1,1,1,0,0,0,1,1,1,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,2,2,2,0,0,0,1,1,1,0,0,0,1,1,1,100,100,100,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,0,0,0,100,100,100,0,0,0,100,100,100,0,0,0,100,100,100,2,0,0,1,0,0,1,0,0,100,0,0,100,0,0,100,0,0,0,0,0,-60,0,0,0,50,0,100,50,100,0,0,0,0,0,0,0,0,0,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0.00,0.00,0.00,1.5,0,3.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,100,100,100,0
Afghanistan National Team,Afghanistan,2023,Afghanistan,3,2,1,0,0,0,0,1,1,0,2,1,1,0.33,0.5,0,3,0,0,19,4,6,-2,10,7,3,3,1,4,2,-1,-1,68,60,90,45,45,45,0,0,0,3,2,1,0,0,0,1,1,0,19,12,7,0,0,0,50,51,48,34,28,6,20,16,4,14,12,2,0,0,0,2,2,0,3,1,2,-1,1,-2,1,1,0,1,1,0,1,0,1,1.33,2,0,3.33,3.5,3,1.33,1.5,1,2,2,2,1.67,1.5,2,0.67,1,0,1,0.5,2,3,3,3,1,0,0,2,2,2,1,0,0,1,1,1,0,0,0,0,0,0,2,3,3,0,0,0,1,2,2,0,0,0,1,1,1,100,100,100,33,0,0,100,100,100,50,0,0,100,100,100,0,0,0,0,0,0,67,100,100,0,0,0,50,100,100,0,0,0,100,100,100,2,2,1,1,1,1,1,1,0,67,67,33,50,50,50,100,100,0,0,0,0,0,0,0,0,100,100,100,0,0,0,33,50,0,1,1,0,33,50,0,2,1,1,67,50,100,1,1,0,33,50,0,33,50,0,33,50,0,33,0,100,6.33,6.00,7.00,0,0,0.00,67,67,67,67,67,67,33,33,1.78,2.01,1.31,1.66,1.70,1.59,133,0,1,0,1,0,0,0,0,2,0,0,2,1,0,0,0,0,3,33,50,0,67,50,100,33
Tajikistan National Team,Tajikistan,2023,Tajikistan,3,1,2,0,2,1,1,1,0,1,0,0,0,2.33,3,2,1,0,0,9,5,0,5,5,4,1,4,1,0,0,4,1,54,23,180,0,0,0,3,1,2,0,0,0,1,0,1,2,1,1,20,7,13,0,0,0,50,56,47,36,16,20,16,10,6,20,6,14,27,11,16,1,1,0,0,0,0,1,1,0,1,1,0,2,0,2,0,0,0,1.67,3,1,1.67,4,0.5,1.67,4,0.5,0,0,0,0.33,1,0,0.33,1,0,0,0,0,2,1,1,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,2,2,2,3,3,0,0,0,0,1,1,1,2,2,2,2,2,67,33,33,33,0,0,100,100,100,100,0,0,50,0,0,0,0,0,33,67,67,67,100,100,0,0,0,0,100,100,50,100,100,100,100,100,1,0,0,1,0,0,0,0,0,33,0,0,100,0,0,0,0,0,67,100,50,0,100,100,100,0,0,0,33,0,50,67,100,50,3,1,2,100,100,100,2,0,2,67,0,100,0,0,0,0,0,0,33,100,0,67,0,100,0,0,0,6.67,7.00,6.50,0,0,0.00,100,100,100,100,67,67,0,0,1.60,2.26,1.27,1.33,1.08,1.45,33,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,33,0,50,0,0,0,0
Palestine National Team,Palestine,2023,Palestine,3,2,1,0,3,2,1,0,0,0,0,0,0,3,3,3,1,0,0,2,10,0,10,10,5,5,5,5,0,0,5,5,27,36,18,0,0,0,3,2,1,0,0,0,0,0,0,3,2,1,25,21,4,0,0,0,55,54,58,65,43,22,36,24,12,29,19,10,0,0,0,4,2,2,0,0,0,4,2,2,2,1,1,1,1,0,0,0,0,2.33,2,3,3.33,2.5,5,3.33,2.5,5,0,0,0,1.33,1,2,1.33,1,2,0,0,0,3,2,2,2,1,0,2,1,1,1,0,0,1,1,1,1,1,0,0,1,1,1,2,3,0,1,1,1,2,2,0,0,0,0,0,1,100,67,67,67,33,0,100,50,50,50,0,0,100,100,100,100,100,0,0,33,33,33,67,100,0,50,50,50,100,100,0,0,0,0,0,100,2,2,0,1,1,0,1,1,0,67,67,0,50,50,0,100,100,0,100,100,100,0,100,100,100,0,0,0,0,0,0,100,100,100,3,2,1,100,100,100,1,1,0,33,50,0,0,0,0,0,0,0,67,50,100,33,50,0,0,0,0,8.33,10.50,4.00,0,0,0.00,67,67,67,67,67,67,67,67,2.95,2.94,2.97,1.31,1.28,1.37,33,0,1,0,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
Sri Lanka National Team,Sri Lanka,2023,Sri Lanka,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,22,0,6,-6,6,2,4,0,0,2,4,-2,-4,0,0,0,45,45,45,0,0,0,0,0,0,3,1,2,0,0,0,5,2,3,0,0,0,38,50,32,13,2,11,4,0,4,9,2,7,20,7,13,0,0,0,2,1,1,-2,-1,-1,0,0,0,1,0,1,2,1,1,0.33,0,0.5,2,2,2,0,0,0,2,2,2,0.67,1,0.5,0,0,0,0.67,1,0.5,3,2,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,0,1,2,3,3,3,0,0,1,1,1,1,0,1,1,2,2,2,100,67,33,0,0,0,100,100,0,0,0,0,100,50,50,0,0,0,0,33,67,100,100,100,0,0,100,100,100,100,0,50,50,100,100,100,2,0,0,1,0,0,1,0,0,67,0,0,100,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,1,0,1,33,0,50,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,33,0,50,67,100,50,1.67,2.00,1.50,0,0,0.00,100,100,67,67,67,33,33,33,0.43,0.23,0.54,2.61,2.99,2.43,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,1,0,0,0,100,100,100,33
Maldives National Team,Maldives,2023,Maldives,3,2,1,0,1,1,0,0,0,0,2,1,1,1,1.5,0,3,0,0,16,1,7,-6,8,5,3,1,0,4,3,-3,-3,273,180,0,39,45,30,1,1,0,0,0,0,2,1,1,1,1,0,17,14,3,0,0,0,50,51,50,17,12,5,7,7,0,10,5,5,21,15,6,0,0,0,3,1,2,-3,-1,-2,0,0,0,1,1,0,2,1,1,0.33,0.5,0,2.67,2.5,3,0.33,0.5,0,2.33,2,3,1,0.5,2,0,0,0,1,0.5,2,3,2,2,1,0,0,2,1,1,1,0,0,1,1,1,0,0,0,0,1,1,2,3,3,0,1,1,1,2,2,0,0,0,1,1,1,100,67,67,33,0,0,100,50,50,50,0,0,100,100,100,0,0,0,0,33,33,67,100,100,0,50,50,50,100,100,0,0,0,100,100,100,2,1,0,1,0,0,1,1,0,67,33,0,50,0,0,100,100,0,33,50,0,33,33,50,0,0,0,0,67,50,100,33,50,0,1,1,0,33,50,0,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,33,50,0,67,50,100,5.67,7.00,3.00,0,0,0.00,67,67,33,33,33,33,33,33,0.76,0.87,0.54,2.08,2.06,2.14,67,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,2,1,0,0,0,67,50,100,33
