team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Qatar National Team,Qatar,2021,Qatar,5,3,2,0,3,1,2,1,1,0,1,1,0,2,1.33,3,1,0,0,3,12,6,6,18,12,6,6,6,6,0,0,6,38,45,30,75,45,0,2,0,2,2,2,0,1,1,0,4,2,2,20,9,11,2,2,0,44,40,50,72,38,34,31,14,17,41,24,17,40,27,13,6,2,4,0,0,0,6,2,4,3,1,2,2,2,0,0,0,0,2.2,1.67,3,3.6,4,3,2.4,2,3,1.2,2,0,1.2,0.67,2,1.2,0.67,2,0,0,0,5,4,3,3,2,1,3,2,2,2,2,1,2,2,1,1,0,0,0,1,2,2,3,4,0,1,1,1,1,2,0,0,1,1,2,2,100,80,60,60,40,20,100,67,67,67,67,33,100,100,50,50,0,0,0,20,40,40,60,80,0,33,33,33,33,67,0,0,50,50,100,100,3,2,1,1,1,0,2,1,1,60,40,20,33,33,0,100,50,50,60,33,100,-42,40,0,100,40,67,0,20,33,0,80,67,100,5,3,2,100,100,100,2,2,0,40,67,0,0,0,0,0,0,0,60,33,100,40,67,0,0,0,0,4.00,3.00,5.50,0.4,0.67,0.00,80,40,40,40,40,20,20,0,1.77,1.50,2.18,1.23,1.49,0.85,160,2,1,2,1,2,2,1,0,1,0,0,0,0,0,2,2,1,1,20,33,0,20,33,0,0
United States Men's National Team,USMNT,2021,USA,6,4,2,0,6,4,2,0,0,0,0,0,0,3,3,3,1,0,0,1,11,1,10,12,4,8,4,7,0,1,4,6,49,90,26,529,0,180,5,4,1,1,0,1,0,0,0,6,4,2,37,19,18,5,3,2,56,54,61,61,37,24,33,17,16,28,20,8,90,59,31,4,2,2,0,0,0,4,2,2,3,2,1,3,2,1,0,0,0,2,2,2,2,1,4,1.83,1,3.5,0.17,0,0.5,0.67,0.5,1,0.67,0.5,1,0,0,0,6,1,1,1,1,1,4,0,0,0,0,0,2,1,1,1,1,1,0,5,5,5,5,5,0,4,4,4,4,4,0,1,1,1,1,1,100,17,17,17,17,17,100,0,0,0,0,0,100,50,50,50,50,50,0,83,83,83,83,83,0,100,100,100,100,100,0,50,50,50,50,50,3,1,0,2,0,0,1,1,0,50,17,0,50,0,0,50,50,0,100,100,100,28,83,100,50,17,0,50,0,0,0,100,100,100,6,4,2,100,100,100,3,2,1,50,50,50,0,0,0,0,0,0,50,50,50,50,50,50,0,0,0,6.17,4.75,9.00,0.83,0.75,1.00,67,50,50,50,50,50,50,50,1.49,1.31,1.85,1.33,1.36,1.28,50,2,1,1,0,1,1,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,17
Honduras National Team,Honduras,2021,Honduras,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,2,0,0,6,7,7,0,14,6,8,4,3,2,5,2,-2,51,45,60,51,90,36,1,1,0,1,0,1,2,1,1,2,1,1,19,9,10,7,1,6,51,56,47,29,17,12,15,5,10,14,12,2,44,26,18,2,1,1,6,1,5,-4,0,-4,1,1,0,0,0,0,3,1,2,0.75,1.5,0,3.5,3,4,1.75,2,1.5,1.75,1,2.5,2,1,3,0.5,0.5,0.5,1.5,0.5,2.5,4,4,3,2,1,0,2,2,1,1,0,0,2,2,2,1,1,0,0,0,1,2,3,4,0,0,1,1,2,2,0,0,0,1,1,2,100,100,75,50,25,0,100,100,50,50,0,0,100,100,100,50,50,0,0,0,25,50,75,100,0,0,50,50,100,100,0,0,0,50,50,100,4,2,2,2,0,0,2,2,2,100,50,50,100,0,0,100,100,100,50,50,50,29,25,50,0,25,0,50,50,50,50,50,50,50,1,1,0,25,50,0,2,1,1,50,50,50,1,0,1,25,0,50,25,50,0,0,0,0,75,50,100,4.75,4.50,5.00,1.75,0.5,3.00,75,50,50,50,50,25,25,25,1.00,1.03,0.98,1.63,1.53,1.74,100,0,0,2,0,0,1,2,0,2,0,0,2,3,1,0,0,0,1,0,0,0,50,50,50,25
Mexico National Team,Mexico,2021,Mexico,6,4,2,0,4,3,1,1,1,0,1,0,1,2.17,2.5,1.5,1,0,0,2,9,2,7,11,7,4,6,3,1,1,5,2,60,60,60,273,360,180,4,3,1,1,1,0,2,1,1,4,3,1,45,29,16,11,8,3,64,63,67,95,62,33,51,35,16,44,27,17,90,60,30,6,5,1,0,0,0,6,5,1,4,3,1,2,1,1,0,0,0,2.33,2.5,2,1.83,1.75,2,1.5,1.5,1.5,0.33,0.25,0.5,1,1.25,0.5,1,1.25,0.5,0,0,0,5,3,3,0,0,0,3,2,2,0,0,0,2,1,1,0,0,0,1,3,3,6,6,6,1,2,2,4,4,4,0,1,1,2,2,2,83,50,50,0,0,0,75,50,50,0,0,0,100,50,50,0,0,0,17,50,50,100,100,100,25,50,50,100,100,100,0,50,50,100,100,100,4,1,1,3,1,1,1,0,0,67,17,17,75,25,25,50,0,0,67,75,50,12,67,75,50,17,25,0,33,25,50,67,75,50,6,4,2,100,100,100,2,1,1,33,25,50,0,0,0,0,0,0,67,75,50,33,25,50,0,0,0,7.50,7.25,8.00,1.83,2,1.50,83,50,33,33,33,33,33,33,2.41,2.40,2.44,0.85,0.78,1.00,33,0,0,3,2,1,1,0,1,1,0,0,0,0,0,1,0,0,0,17,25,0,17,0,50,33
Costa Rica National Team,Costa Rica,2021,Costa Rica,4,3,1,0,3,2,1,0,0,0,1,1,0,2.25,2,3,1,0,0,4,6,4,2,10,7,3,4,2,3,1,1,1,60,68,45,90,90,90,1,1,0,2,1,1,1,1,0,2,2,0,10,8,2,12,6,6,51,51,51,26,16,10,11,7,4,15,9,6,72,54,18,2,2,0,2,2,0,0,0,0,1,1,0,2,1,1,1,1,0,1.25,1.33,1,2.5,2.33,3,1.5,1.33,2,1,1,1,1,1.33,0,0.5,0.67,0,0.5,0.67,0,4,3,2,1,0,0,3,2,1,1,0,0,1,1,1,0,0,0,0,1,2,3,4,4,0,1,2,2,3,3,0,0,0,1,1,1,100,75,50,25,0,0,100,67,33,33,0,0,100,100,100,0,0,0,0,25,50,75,100,100,0,33,67,67,100,100,0,0,0,100,100,100,2,1,1,2,1,1,0,0,0,50,25,25,67,33,33,0,0,0,75,67,100,0,25,33,0,50,33,100,25,33,0,50,67,0,2,1,1,50,33,100,3,2,1,75,67,100,1,1,0,25,33,0,25,33,0,50,33,100,25,33,0,2.50,2.67,2.00,3,2,6.00,50,50,50,25,0,0,0,0,0.92,0.85,1.11,1.64,1.68,1.52,75,1,0,1,0,0,3,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,25,33,0,0
Canada National Team,Canada,2021,Canada,5,1,4,0,3,1,2,0,0,0,2,0,2,1.8,3,1.5,2,0,0,5,11,5,6,16,5,11,4,7,1,4,3,3,41,23,51,90,90,90,1,0,1,3,1,2,1,0,1,2,0,2,23,6,17,14,6,8,52,66,48,49,12,37,26,6,20,23,6,17,77,22,55,5,3,2,3,1,2,2,2,0,3,1,2,0,0,0,2,0,2,1.8,3,1.5,3.2,5,2.75,2.2,4,1.75,1,1,1,1.6,4,1,1,3,0.5,0.6,1,0.5,5,4,3,2,2,0,1,1,1,1,1,0,4,3,2,1,1,0,0,1,2,3,3,5,0,0,0,0,0,1,0,1,2,3,3,4,100,80,60,40,40,0,100,100,100,100,100,0,100,75,50,25,25,0,0,20,40,60,60,100,0,0,0,0,0,100,0,25,50,75,75,100,5,1,1,1,1,1,4,0,0,100,20,20,100,100,100,100,0,0,60,100,50,0,20,0,25,60,100,50,20,0,25,40,0,50,2,0,2,40,0,50,2,0,2,40,0,50,1,1,0,20,100,0,60,100,50,0,0,0,40,0,50,4.60,6.00,4.25,2.8,6,2.00,60,40,20,20,0,0,0,0,1.49,1.73,1.44,0.98,0.72,1.05,100,1,3,1,0,0,2,1,2,1,2,0,0,0,1,1,0,0,1,0,0,0,40,0,50,0
Jamaica National Team,Jamaica,2021,Jamaica,4,1,3,0,2,1,1,0,0,0,2,0,2,1.5,3,1,2,0,0,7,4,3,1,7,2,5,2,2,0,3,2,-1,90,45,134,120,0,90,1,1,0,1,0,1,2,0,2,1,1,0,18,3,15,8,1,7,47,50,46,50,8,42,27,7,20,23,1,22,65,14,51,3,2,1,1,0,1,2,2,0,1,1,0,3,0,3,0,0,0,1.5,3,1,1.75,2,1.67,1,2,0.67,0.75,0,1,1,2,0.67,0.75,2,0.33,0.25,0,0.33,4,2,1,0,0,0,1,1,0,0,0,0,3,1,1,0,0,0,0,2,3,4,4,4,0,0,1,1,1,1,0,2,2,3,3,3,100,50,25,0,0,0,100,100,0,0,0,0,100,33,33,0,0,0,0,50,75,100,100,100,0,0,100,100,100,100,0,67,67,100,100,100,2,2,0,1,1,0,1,1,0,50,50,0,100,100,0,33,33,0,50,100,33,100,25,100,0,25,0,33,50,0,67,25,100,0,3,1,2,75,100,67,2,0,2,50,0,67,1,0,1,25,0,33,25,100,0,75,0,100,0,0,0,4.50,3.00,5.00,2,1,2.33,75,75,50,25,25,25,25,25,1.71,1.46,1.79,1.19,1.28,1.16,25,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,50,0,67,0
Panama National Team,Panama,2021,Panama,3,2,1,0,1,1,0,1,0,1,1,1,0,1.33,1.5,1,3,0,0,9,8,7,1,15,9,6,5,3,4,3,1,0,34,36,30,39,45,30,0,0,0,3,2,1,0,0,0,1,1,0,17,12,5,3,3,0,59,59,58,32,23,9,19,13,6,13,10,3,35,24,11,4,4,0,1,1,0,3,3,0,2,2,0,1,0,1,0,0,0,2.33,3,1,5,4.5,6,2.67,2.5,3,2.33,2,3,1.67,2.5,0,1.33,2,0,0.33,0.5,0,3,3,3,3,2,1,2,2,2,2,1,0,1,1,1,1,1,1,0,0,0,0,1,2,0,0,0,0,1,2,0,0,0,0,0,0,100,100,100,100,67,33,100,100,100,100,50,0,100,100,100,100,100,100,0,0,0,0,33,67,0,0,0,0,50,100,0,0,0,0,0,0,2,2,1,2,2,1,0,0,0,67,67,33,100,100,50,0,0,0,33,50,0,4,0,0,0,100,100,100,0,0,0,33,50,0,2,1,1,67,50,100,1,0,1,33,0,100,1,1,0,33,50,0,67,100,0,33,0,100,0,0,0,5.67,6.00,5.00,1,1.5,0.00,67,33,33,33,33,33,33,33,1.57,1.59,1.53,1.29,1.14,1.59,167,1,0,1,1,1,2,1,1,0,0,0,1,0,1,1,3,1,0,33,0,100,33,50,0,33
Grenada National Team,Grenada,2021,Grenada,3,1,2,0,0,0,0,0,0,0,3,1,2,0,0,0,4,0,0,14,1,11,-10,12,4,8,0,1,4,7,-4,-6,273,0,180,25,23,26,0,0,0,1,0,1,2,1,1,0,0,0,6,0,6,4,2,2,40,42,40,19,6,13,12,3,9,7,3,4,26,13,13,0,0,0,6,3,3,-6,-3,-3,0,0,0,0,0,0,3,1,2,0,0,0,4,4,4,0.33,0,0.5,3.67,4,3.5,2,3,1.5,0,0,0,2,3,1.5,3,3,3,3,0,0,1,1,1,1,0,0,2,2,2,2,0,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,2,2,100,100,100,100,0,0,100,100,100,100,0,0,100,100,100,100,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,100,100,3,2,1,1,1,1,2,1,0,100,67,33,100,100,100,100,50,0,0,0,0,-55,0,0,0,33,0,50,67,100,50,0,0,0,0,0,0,0,0,0,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,2.00,0.00,3.00,1.33,2,1.00,0,0,0,0,0,0,0,0,0.87,0.77,0.92,1.89,2.44,1.62,67,0,0,0,0,0,0,0,1,0,1,1,3,1,1,1,1,0,2,0,0,0,100,100,100,0
El Salvador National Team,El Salvador,2021,El Salvador,4,1,3,0,2,1,1,0,0,0,2,0,2,1.5,3,1,2,0,0,8,6,4,2,10,2,8,2,4,0,4,2,0,60,45,68,90,0,68,2,1,1,1,0,1,1,0,1,2,1,1,27,11,16,7,1,6,59,69,55,58,22,36,23,7,16,35,15,20,68,11,57,1,0,1,3,0,3,-2,0,-2,1,0,1,1,1,0,2,0,2,1,1,1,2.5,2,2.67,1.5,2,1.33,1,0,1.33,1,0,1.33,0.25,0,0.33,0.75,0,1,4,3,1,1,1,0,1,1,0,0,0,0,3,2,1,1,1,0,0,1,3,3,3,4,0,0,1,1,1,1,0,1,2,2,2,3,100,75,25,25,25,0,100,100,0,0,0,0,100,67,33,33,33,0,0,25,75,75,75,100,0,0,100,100,100,100,0,33,67,67,67,100,3,1,0,0,0,0,3,1,0,75,25,0,0,0,0,100,33,0,50,100,33,67,50,100,33,25,0,33,25,0,33,50,100,33,2,1,1,50,100,33,3,1,2,75,100,67,0,0,0,0,0,0,25,0,33,25,100,0,50,0,67,6.75,11.00,5.33,1.75,1,2.00,100,75,50,50,50,25,25,0,1.95,2.87,1.64,1.24,0.69,1.42,100,0,0,1,0,0,0,2,0,3,2,0,1,0,0,1,0,0,0,0,0,0,50,0,67,0
