team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Argentina National Team,Argentina,2021,Argentina,7,6,1,0,5,4,1,2,2,0,0,0,0,2.43,2.33,3,1,0,0,1,12,3,9,15,10,5,8,4,2,1,6,3,53,68,23,209,273,90,4,4,0,3,2,1,0,0,0,7,6,1,33,29,4,18,17,1,48,44,68,99,81,18,49,35,14,50,46,4,96,89,7,9,6,3,0,0,0,9,6,3,7,6,1,0,0,0,0,0,0,3,3,3,2.14,1.67,5,1.71,1.33,4,0.43,0.33,1,1.29,1,3,1.29,1,3,0,0,0,7,4,2,1,1,0,6,3,1,0,0,0,1,1,1,1,1,0,0,3,5,6,6,7,0,3,5,6,6,6,0,0,0,0,0,1,100,57,29,14,14,0,100,50,17,0,0,0,100,100,100,100,100,0,0,43,71,86,86,100,0,50,83,100,100,100,0,0,0,0,0,100,7,1,1,6,0,0,1,1,1,100,14,14,100,0,0,100,100,100,71,67,100,1,57,67,0,43,33,100,0,0,0,100,100,100,7,6,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,4.71,4.83,4.00,2.57,2.83,1.00,71,71,43,43,43,14,14,14,1.77,1.62,2.72,1.11,1.20,0.55,43,3,1,1,3,1,0,1,0,2,0,0,0,0,0,2,1,0,0,29,33,0,0,0,0,14
Uruguay National Team,Uruguay,2021,Uruguay,5,3,2,0,2,1,1,2,2,0,1,0,1,1.6,1.67,1.5,2,0,0,4,4,2,2,6,3,3,2,2,1,1,1,1,113,134,90,225,273,180,3,2,1,1,1,0,2,1,1,2,1,1,21,13,8,4,2,2,52,51,54,72,44,28,24,16,8,48,28,20,71,35,36,2,1,1,2,1,1,0,0,0,2,1,1,1,1,0,2,1,1,1.4,1.33,1.5,1.2,1,1.5,0.8,0.67,1,0.4,0.33,0.5,0.8,0.67,1,0.4,0.33,0.5,0.4,0.33,0.5,4,2,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,1,3,5,5,5,5,1,2,3,3,3,3,0,1,2,2,2,2,80,40,0,0,0,0,67,33,0,0,0,0,100,50,0,0,0,0,20,60,100,100,100,100,33,67,100,100,100,100,0,50,100,100,100,100,4,0,0,2,0,0,2,0,0,80,0,0,67,0,0,100,0,0,40,33,50,1,60,67,50,20,33,0,40,33,50,40,33,50,3,2,1,60,67,50,3,2,1,60,67,50,0,0,0,0,0,0,40,33,50,20,33,0,40,33,50,4.20,4.33,4.00,0.8,0.67,1.00,80,60,20,20,20,0,0,0,1.70,1.74,1.66,1.02,0.89,1.23,20,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,40,67,0,20,0,50,0
Ecuador National Team,Ecuador,2021,Ecuador,5,1,4,0,0,0,0,3,1,2,2,0,2,0.6,1,0.5,4,0,0,8,5,9,-4,14,4,10,2,3,2,7,0,-4,90,45,120,50,45,51,0,0,0,3,1,2,2,0,2,2,1,1,44,13,31,11,1,10,55,58,55,64,17,47,24,7,17,40,10,30,76,19,57,3,2,1,3,0,3,0,2,-2,2,1,1,0,0,0,3,0,3,1.2,3,0.75,2.8,4,2.5,1,2,0.75,1.8,2,1.75,1.2,2,1,0.6,2,0.25,0.6,0,0.75,5,4,3,2,0,0,1,1,1,1,0,0,4,3,2,1,0,0,0,1,2,3,5,5,0,0,0,0,1,1,0,1,2,3,4,4,100,80,60,40,0,0,100,100,100,100,0,0,100,75,50,25,0,0,0,20,40,60,100,100,0,0,0,0,100,100,0,25,50,75,100,100,5,1,0,1,1,0,4,0,0,100,20,0,100,100,0,100,0,0,0,0,0,45,0,0,0,60,100,50,40,0,50,40,100,25,2,1,1,40,100,25,3,0,3,60,0,75,0,0,0,0,0,0,40,100,25,0,0,0,60,0,75,8.80,13.00,7.75,2.2,1,2.50,100,100,100,100,60,40,40,20,1.59,2.02,1.48,1.26,1.15,1.29,40,0,0,1,1,1,1,0,1,0,0,0,0,2,2,2,0,0,3,60,100,50,40,0,50,20
Brazil National Team,Brazil,2021,Brazil,7,6,1,0,5,5,0,1,1,0,1,0,1,2.29,2.67,0,1,0,0,2,12,3,9,15,14,1,12,0,2,1,10,-1,53,45,0,209,273,90,4,4,0,2,2,0,1,0,1,5,5,0,34,30,4,14,10,4,58,58,59,101,87,14,45,42,3,56,45,11,90,68,22,4,4,0,2,1,1,2,3,-1,4,4,0,1,1,0,2,1,1,1.86,2.17,0,2.14,2.33,1,1.71,2,0,0.43,0.33,1,0.86,0.83,1,0.57,0.67,0,0.29,0.17,1,7,4,3,1,0,0,6,4,3,1,0,0,1,0,0,0,0,0,0,3,4,6,7,7,0,2,3,5,6,6,0,1,1,1,1,1,100,57,43,14,0,0,100,67,50,17,0,0,100,0,0,0,0,0,0,43,57,86,100,100,0,33,50,83,100,100,0,100,100,100,100,100,6,0,0,5,0,0,1,0,0,86,0,0,83,0,0,100,0,0,71,83,0,20,57,67,0,29,33,0,14,0,100,71,83,0,5,5,0,71,83,0,3,2,1,43,33,100,0,0,0,0,0,0,57,67,0,14,17,0,29,17,100,4.86,5.00,4.00,2,1.67,4.00,56,56,56,43,28,14,14,0,1.94,1.98,1.63,0.99,1.01,0.87,14,0,1,1,2,1,0,2,1,4,1,0,1,0,0,1,0,0,0,14,17,0,14,0,100,0
Chile National Team,Chile,2021,Chile,5,2,3,0,1,1,0,2,0,2,2,1,1,1,1.5,0.67,4,0,0,7,3,5,-2,8,3,5,1,2,2,3,-1,-1,150,180,134,90,90,90,1,1,0,2,0,2,2,1,1,2,1,1,18,9,9,11,4,7,57,65,52,51,25,26,27,14,13,24,11,13,66,18,48,2,1,1,2,1,1,0,0,0,2,1,1,1,0,1,2,1,1,1.4,1.5,1.33,1.6,1.5,1.67,0.6,0.5,0.67,1,1,1,0.8,1,0.67,0.4,0.5,0.33,0.4,0.5,0.33,5,3,0,0,0,0,2,1,0,0,0,0,3,2,0,0,0,0,0,2,5,5,5,5,0,1,2,2,2,2,0,1,3,3,3,3,100,60,0,0,0,0,100,50,0,0,0,0,100,67,0,0,0,0,0,40,100,100,100,100,0,50,100,100,100,100,0,33,100,100,100,100,4,0,0,2,0,0,2,0,0,80,0,0,100,0,0,67,0,0,20,50,0,0,20,50,0,40,0,67,40,50,33,40,50,33,3,1,2,60,50,67,3,1,2,60,50,67,0,0,0,0,0,0,40,50,33,20,0,33,40,50,33,3.60,4.50,3.00,2.2,2,2.33,100,80,20,20,0,0,0,0,1.29,1.67,1.04,1.56,1.20,1.79,20,1,0,1,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,40,0,67,40,50,33,0
Colombia National Team,Colombia,2021,Colombia,7,4,3,0,2,2,0,3,1,2,2,1,1,1.29,1.75,0.67,3,0,0,3,7,7,0,14,9,5,5,2,4,3,1,-1,90,72,134,90,90,90,3,2,1,4,2,2,2,1,1,2,1,1,24,17,7,21,11,10,50,53,47,85,56,29,36,24,12,49,32,17,123,62,61,2,1,1,3,2,1,-1,-1,0,2,1,1,2,1,1,3,2,1,1.14,1,1.33,2,2.25,1.67,1,1.25,0.67,1,1,1,0.71,0.75,0.67,0.29,0.25,0.33,0.43,0.5,0.33,5,4,3,1,1,0,3,2,2,1,1,0,2,2,1,0,0,0,2,3,4,6,6,7,1,2,2,3,3,4,1,1,2,3,3,3,71,57,43,14,14,0,75,50,50,25,25,0,67,67,33,0,0,0,29,43,57,86,86,100,25,50,50,75,75,100,33,33,67,100,100,100,5,0,0,3,0,0,2,0,0,71,0,0,75,0,0,67,0,0,29,50,0,0,43,50,33,57,50,67,29,25,33,29,25,33,4,2,2,57,50,67,5,3,2,71,75,67,0,0,0,0,0,0,29,25,33,29,25,33,43,50,33,3.43,4.25,2.33,3,2.75,3.33,100,71,43,14,0,0,0,0,1.46,1.71,1.13,1.24,1.01,1.55,14,1,0,0,0,2,1,2,0,1,1,1,0,0,1,0,1,1,2,43,25,67,29,25,33,0
Bolivia National Team,Bolivia,2021,Bolivia,4,2,2,0,0,0,0,0,0,0,4,2,2,0,0,0,5,0,0,10,2,10,-8,12,7,5,1,1,6,4,-5,-3,180,180,180,36,30,45,0,0,0,2,1,1,2,1,1,1,0,1,9,5,4,11,5,6,35,40,30,24,8,16,14,7,7,10,1,9,37,19,18,1,0,1,5,4,1,-4,-4,0,1,0,1,0,0,0,3,2,1,0.75,0,1.5,3,3.5,2.5,0.5,0.5,0.5,2.5,3,2,1.5,2,1,0.25,0,0.5,1.25,2,0.5,4,3,2,2,1,0,2,2,1,1,1,0,2,1,1,1,0,0,0,1,2,2,3,4,0,0,1,1,1,2,0,1,1,1,2,2,100,75,50,50,25,0,100,100,50,50,50,0,100,50,50,50,0,0,0,25,50,50,75,100,0,0,50,50,50,100,0,50,50,50,100,100,4,1,1,2,1,1,2,0,0,100,25,25,100,50,50,100,0,0,0,0,0,-10,0,0,0,50,50,50,50,50,50,25,0,50,1,0,1,25,0,50,3,2,1,75,100,50,0,0,0,0,0,0,25,0,50,0,0,0,75,100,50,2.25,2.50,2.00,2.75,2.5,3.00,75,75,25,0,0,0,0,0,0.70,0.57,0.82,2.91,2.62,3.20,100,1,0,0,0,0,1,0,0,0,2,0,0,2,1,0,3,2,0,0,0,0,100,100,100,0
Peru National Team,Peru,2021,Peru,7,1,6,0,2,0,2,2,1,1,3,0,3,1.14,1,1.17,2,0,0,5,10,14,-4,24,6,18,3,7,3,11,0,-4,63,30,77,45,30,49,1,0,1,4,1,3,2,0,2,3,0,3,18,3,15,14,4,10,48,55,47,72,13,59,31,7,24,41,6,35,89,17,72,4,2,2,5,1,4,-1,1,-2,3,1,2,1,0,1,3,0,3,1.43,3,1.17,3.43,6,3,1.43,3,1.17,2,3,1.83,1.29,3,1,0.57,2,0.33,0.71,1,0.67,7,5,5,4,2,1,1,1,1,1,1,1,6,4,4,3,1,0,0,2,2,3,5,6,0,0,0,0,0,0,0,2,2,3,5,6,100,71,71,57,29,14,100,100,100,100,100,100,100,67,67,50,17,0,0,29,29,43,71,86,0,0,0,0,0,0,0,33,33,50,83,100,6,2,1,1,1,1,5,1,0,86,29,14,100,100,100,83,17,0,29,0,33,30,14,0,17,57,100,50,29,0,33,43,0,50,3,0,3,43,0,50,4,0,4,57,0,67,1,1,0,14,100,0,43,100,33,14,0,17,43,0,50,2.57,3.00,2.50,2,4,1.67,71,56,43,14,14,14,14,0,1.11,1.52,1.04,1.82,1.99,1.80,57,0,1,1,1,3,1,1,1,1,0,2,1,1,2,2,2,0,4,29,100,17,43,0,50,0
Paraguay National Team,Paraguay,2021,Paraguay,5,1,4,0,2,1,1,1,0,1,2,0,2,1.4,3,1,3,0,0,6,8,6,2,14,4,10,3,5,1,5,2,0,56,30,72,75,90,72,1,0,1,2,1,1,2,0,2,2,0,2,26,7,19,11,2,9,53,78,46,74,35,39,28,12,16,46,23,23,71,11,60,2,0,2,5,1,4,-3,-1,-2,1,0,1,0,0,0,4,1,3,0.6,0,0.75,2.8,4,2.5,1.6,3,1.25,1.2,1,1.25,1.4,1,1.5,0.4,0,0.5,1,1,1,5,3,2,2,1,1,1,1,1,1,0,0,4,2,1,1,1,1,0,2,3,3,4,4,0,0,0,0,1,1,0,2,3,3,3,3,100,60,40,40,20,20,100,100,100,100,0,0,100,50,25,25,25,25,0,40,60,60,80,80,0,0,0,0,100,100,0,50,75,75,75,75,5,1,1,1,0,0,4,1,1,100,20,20,100,0,0,100,25,25,40,100,25,53,20,0,25,40,100,25,40,0,50,40,0,50,1,0,1,20,0,25,3,1,2,60,100,50,1,0,1,20,0,25,20,0,25,0,0,0,80,100,75,5.20,7.00,4.75,2.2,2,2.25,80,60,60,20,20,0,0,0,1.80,3.93,1.27,1.36,0.67,1.53,60,0,1,0,1,0,2,2,1,1,2,0,2,1,0,0,0,1,0,20,0,25,40,0,50,0
Venezuela National Team,Venezuela,2021,Venezuela,4,2,2,0,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,5,0,0,9,2,6,-4,8,5,3,2,0,3,3,-1,-3,180,90,0,60,60,60,1,0,1,1,1,0,3,1,2,0,0,0,17,10,7,8,1,7,37,37,37,28,21,7,10,8,2,18,13,5,56,26,30,0,0,0,2,1,1,-2,-1,-1,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,2,2.5,1.5,0.5,1,0,1.5,1.5,1.5,0.5,0.5,0.5,0,0,0,0.5,0.5,0.5,3,2,2,1,0,0,2,1,1,1,0,0,1,1,1,0,0,0,1,2,2,3,4,4,0,1,1,1,2,2,1,1,1,2,2,2,75,50,50,25,0,0,100,50,50,50,0,0,50,50,50,0,0,0,25,50,50,75,100,100,0,50,50,50,100,100,50,50,50,100,100,100,2,0,0,1,0,0,1,0,0,50,0,0,50,0,0,50,0,0,0,0,0,0,25,0,50,25,50,0,75,50,100,0,0,0,2,1,1,50,50,50,4,2,2,100,100,100,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,4.25,5.00,3.50,2,0.5,3.50,100,100,100,50,25,25,25,0,0.65,0.93,0.37,2.13,1.79,2.48,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,50,50,50,50,50,50,0
