team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Jordan National Team,Jordan,2021,Jordan,5,3,2,0,3,2,1,0,0,0,2,1,1,1.8,2,1.5,2,0,0,6,10,8,2,18,13,5,8,2,5,3,3,-1,45,34,90,56,54,60,2,1,1,2,1,1,1,1,0,4,2,2,14,8,6,4,2,2,42,41,43,50,20,30,28,10,18,22,10,12,0,0,0,3,2,1,5,4,1,-2,-2,0,1,1,0,2,0,2,1,1,0,1.25,1.5,1,3.6,4.33,2.5,2,2.67,1,1.6,1.67,1.5,2,3,1,0.75,1,0.5,1.25,2,0.5,5,4,4,3,1,1,3,3,3,2,1,1,2,1,1,1,0,0,0,1,1,2,4,4,0,0,0,1,2,2,0,1,1,1,2,2,100,80,80,60,20,20,100,100,100,67,33,33,100,50,50,50,0,0,0,20,20,40,80,80,0,0,0,33,67,67,0,50,50,50,100,100,3,3,2,2,2,2,1,1,0,75,75,50,100,100,100,50,50,0,60,67,50,15,40,33,50,40,33,50,20,33,0,80,67,100,1,0,1,25,0,50,2,1,1,50,50,50,2,1,1,50,50,50,25,50,0,50,0,100,25,50,0,3.50,4.00,3.00,1,1,1.00,75,75,75,75,75,75,75,50,1.72,1.29,2.15,2.75,1.95,3.56,80,1,1,1,0,0,0,1,0,3,1,0,1,0,3,0,0,0,1,0,0,0,40,33,50,25
Bahrain National Team,Bahrain,2021,Bahrain,4,2,2,0,1,1,0,1,1,0,2,0,2,1,2,0,4,0,0,11,2,4,-2,6,2,4,2,0,0,4,2,-4,180,90,0,90,0,45,2,2,0,0,0,0,3,1,2,1,1,0,30,17,13,6,3,3,56,57,56,41,29,12,17,11,6,24,18,6,0,0,0,0,0,0,1,0,1,-1,0,-1,0,0,0,2,1,1,1,0,1,0.67,1,0.5,1.5,1,2,0.5,1,0,1,0,2,0.33,0,0.5,0,0,0,0.33,0,0.5,3,2,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,0,1,2,3,4,4,4,1,1,2,2,2,2,0,1,1,2,2,2,75,50,25,0,0,0,50,50,0,0,0,0,100,50,50,0,0,0,25,50,75,100,100,100,50,50,100,100,100,100,0,50,50,100,100,100,1,0,0,0,0,0,1,0,0,33,0,0,0,0,0,50,0,0,25,50,0,100,50,100,0,0,0,0,75,50,100,25,50,0,2,1,1,67,100,50,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,67,100,50,33,0,50,7.50,8.50,6.50,2,3,1.50,100,100,75,75,75,25,0,0,1.29,1.66,0.92,1.27,1.28,1.26,75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,25,50,0,50,0,100,0
Saudi Arabia National Team,Saudi Arabia,2021,Saudi Arabia,3,1,2,0,0,0,0,1,0,1,2,1,1,0.33,0,0.5,3,0,0,16,1,3,-2,4,1,3,0,1,1,2,-1,-1,273,0,180,90,90,90,0,0,0,1,0,1,2,1,1,0,0,0,13,3,10,9,3,6,52,57,50,24,12,12,9,2,7,15,10,5,0,0,0,0,0,0,2,0,2,-2,0,-2,0,0,0,1,1,0,2,0,2,0.33,1,0,1.33,1,1.5,0.33,0,0.5,1,1,1,0.67,0,1,0,0,0,0.67,0,1,3,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,2,3,3,3,3,0,1,1,1,1,1,0,1,2,2,2,2,100,33,0,0,0,0,100,0,0,0,0,0,100,50,0,0,0,0,0,67,100,100,100,100,0,100,100,100,100,100,0,50,100,100,100,100,2,0,0,0,0,0,2,0,0,67,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,33,0,50,67,100,50,0,0,0,1,1,0,33,100,0,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,33,100,0,67,0,100,4.33,3.00,5.00,3,3,3.00,67,67,67,33,0,0,0,0,1.01,1.33,0.85,1.57,1.35,1.68,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,33,0,50,67,100,50,0
Qatar National Team,Qatar,2021,Qatar,6,4,2,0,4,3,1,1,0,1,1,1,0,2.17,2.25,2,1,0,0,2,12,3,9,15,12,3,10,2,2,1,8,1,45,36,90,180,180,180,4,3,1,2,1,1,1,0,1,4,3,1,24,12,12,7,6,1,49,48,51,65,48,17,32,25,7,33,23,10,0,0,0,6,5,1,0,0,0,6,5,1,2,1,1,4,3,1,0,0,0,1.67,1.5,2,2.5,3,1.5,2,2.5,1,0.5,0.5,0.5,1,1.25,0.5,1,1.25,0.5,0,0,0,5,4,4,1,1,0,4,3,3,1,1,0,1,1,1,0,0,0,1,2,2,5,5,6,0,1,1,3,3,4,1,1,1,2,2,2,83,67,67,17,17,0,100,75,75,25,25,0,50,50,50,0,0,0,17,33,33,83,83,100,0,25,25,75,75,100,50,50,50,100,100,100,2,1,1,1,1,1,1,0,0,33,17,17,25,25,25,50,0,0,67,75,50,0,67,75,50,33,25,50,17,0,50,67,75,50,6,4,2,100,100,100,4,3,1,67,75,50,0,0,0,0,0,0,33,25,50,67,75,50,0,0,0,4.00,3.00,6.00,1.75,2,1.00,83,67,50,50,50,33,0,0,1.37,1.47,1.19,1.28,1.04,1.76,100,1,0,1,2,2,0,1,0,5,0,0,0,0,0,1,0,1,1,17,0,50,17,25,0,0
Syria National Team,Syria,2021,Syria,3,2,1,0,1,1,0,0,0,0,2,1,1,1,1.5,0,3,0,0,14,4,4,0,8,5,3,3,1,2,2,1,-1,68,60,90,68,90,45,1,1,0,2,1,1,0,0,0,1,1,0,11,3,8,3,3,0,48,50,44,32,14,18,17,8,9,15,6,9,0,0,0,1,1,0,2,0,2,-1,1,-2,1,1,0,1,1,0,1,0,1,1.33,2,0,2.67,2.5,3,1.33,1.5,1,1.33,1,2,1,0.5,2,0.33,0.5,0,0.67,0,2,3,3,2,0,0,0,2,2,1,0,0,0,1,1,1,0,0,0,0,0,1,3,3,3,0,0,1,2,2,2,0,0,0,1,1,1,100,100,67,0,0,0,100,100,50,0,0,0,100,100,100,0,0,0,0,0,33,100,100,100,0,0,50,100,100,100,0,0,0,100,100,100,2,1,0,1,0,0,1,1,0,67,33,0,50,0,0,100,100,0,33,50,0,19,33,50,0,67,50,100,0,0,0,33,50,0,2,2,0,67,100,0,2,1,1,67,50,100,0,0,0,0,0,0,33,50,0,33,50,0,33,0,100,3.67,1.50,8.00,1,1.5,0.00,100,100,67,67,33,33,33,0,1.34,1.02,2.00,1.44,1.34,1.65,67,1,0,0,0,1,2,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,67,50,100,0
Palestine National Team,Palestine,2021,Palestine,4,2,2,0,1,1,0,1,1,0,2,0,2,1,2,0,4,0,0,12,7,11,-4,18,8,10,6,1,2,9,4,-8,51,30,180,33,90,20,0,0,0,3,2,1,1,0,1,1,1,0,12,2,10,3,1,2,41,41,41,35,13,22,13,6,7,22,7,15,0,0,0,2,1,1,3,0,3,-1,1,-2,1,1,0,0,0,0,2,0,2,1,3,0,4.5,4,5,1.75,3,0.5,2.75,1,4.5,1.67,1,2,0.67,1,0.5,1,0,1.5,4,4,3,3,2,2,2,2,1,1,1,1,2,2,2,2,1,1,0,0,1,1,2,2,0,0,1,1,1,1,0,0,0,0,1,1,100,100,75,75,50,50,100,100,50,50,50,50,100,100,100,100,50,50,0,0,25,25,50,50,0,0,50,50,50,50,0,0,0,0,50,50,3,1,1,1,0,0,2,1,1,100,33,33,100,0,0,100,50,50,25,50,0,68,0,0,0,75,100,50,25,0,50,25,50,0,1,1,0,33,100,0,1,0,1,33,0,50,1,0,1,33,0,50,33,100,0,0,0,0,67,0,100,4.00,2.00,5.00,1,1,1.00,67,67,67,33,33,33,33,33,1.45,1.60,1.38,1.82,1.10,2.18,200,0,0,0,0,2,0,0,0,0,1,0,1,1,0,1,1,0,5,25,50,0,50,0,100,0
Oman National Team,Oman,2021,Oman,5,3,2,0,2,2,0,1,0,1,2,1,1,1.4,2,0.5,2,0,0,7,8,6,2,14,9,5,6,2,3,3,3,-1,56,45,90,75,90,60,1,1,0,4,2,2,0,0,0,2,1,1,19,14,5,5,1,4,49,48,52,46,29,17,24,16,8,22,13,9,0,0,0,1,1,0,2,1,1,-1,0,-1,1,1,0,1,0,1,2,1,1,1,1.5,0.5,2.8,3,2.5,1.6,2,1,1.2,1,1.5,0.75,1,0.5,0.25,0.5,0,0.5,0.5,0.5,5,5,4,0,0,0,3,3,3,0,0,0,2,2,1,0,0,0,0,0,1,5,5,5,0,0,0,3,3,3,0,0,1,2,2,2,100,100,80,0,0,0,100,100,100,0,0,0,100,100,50,0,0,0,0,0,20,100,100,100,0,0,0,100,100,100,0,0,50,100,100,100,3,0,0,2,0,0,1,0,0,75,0,0,100,0,0,50,0,0,40,67,0,21,20,33,0,80,67,100,0,0,0,40,33,50,2,1,1,50,50,50,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,25,0,50,50,50,50,3.80,4.67,2.50,1.67,1,2.00,60,60,60,60,60,60,20,0,1.24,1.38,1.02,1.37,1.26,1.52,120,0,0,0,0,2,1,1,2,0,0,1,0,1,0,0,1,0,2,20,0,50,40,33,50,0
Lebanon National Team,Lebanon,2021,Lebanon,4,3,1,0,2,2,0,0,0,0,2,1,1,1.5,2,0,3,0,0,8,2,3,-1,5,4,1,2,0,2,1,0,-1,180,134,0,120,134,90,2,2,0,0,0,0,2,1,1,2,2,0,16,16,0,7,6,1,48,52,34,36,33,3,15,15,0,21,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,1,1,1.25,1.33,1,0.5,0.67,0,0.75,0.67,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,3,4,4,4,4,0,2,3,3,3,3,0,1,1,1,1,1,100,25,0,0,0,0,100,33,0,0,0,0,100,0,0,0,0,0,0,75,100,100,100,100,0,67,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,67,0,23,50,67,0,0,0,0,50,33,100,50,67,0,3,2,1,100,100,100,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,4.00,5.33,0.00,2.33,3,1.00,75,50,50,25,25,0,0,0,1.08,1.33,0.31,1.42,1.24,1.94,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,50,33,100,0
Iraq National Team,Iraq,2021,Iraq,3,1,2,0,0,0,0,2,1,1,1,0,1,0.67,1,0.5,3,0,0,15,1,4,-3,5,2,3,1,0,1,3,0,-3,273,90,0,68,90,60,1,0,1,1,1,0,2,0,2,0,0,0,9,3,6,4,2,2,45,44,46,31,12,19,15,5,10,16,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,1,1,1,1.67,2,1.5,0.33,1,0,1.33,1,1.5,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,2,3,3,3,0,0,1,1,1,1,1,1,1,2,2,2,67,67,33,0,0,0,100,100,0,0,0,0,50,50,50,0,0,0,33,33,67,100,100,100,0,0,100,100,100,100,50,50,50,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,33,0,50,33,100,0,67,0,100,0,0,0,3,1,2,100,100,100,3,1,2,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,3.00,3.00,3.00,2,2,2.00,67,33,33,33,33,0,0,0,1.26,1.25,1.27,1.34,1.04,1.49,67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,67,100,50,33,0,50,0
Yemen National Team,Yemen,2021,Yemen,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22,0,2,-2,2,0,2,0,0,0,2,0,-2,0,0,0,45,0,45,0,0,0,0,0,0,1,0,1,0,0,0,5,0,5,0,0,0,41,0,41,4,0,4,2,0,2,2,0,2,0,0,0,0,0,0,1,0,1,-1,0,-1,0,0,0,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,2,0,2,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,0,0,0,100,100,100,100,0,0,0,0,0,0,0,0,100,100,100,100,1,0,0,0,0,0,1,0,0,100,0,0,0,0,0,100,0,0,0,0,0,50,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,5.00,0.00,5.00,0,0,0.00,100,0,0,0,0,0,0,0,0.00,0.00,0.48,0.01,0.00,1.01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,100,0,100,0
