team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Finland National Team,Finland,2022,Finland,4,2,2,0,0,0,0,3,1,2,1,1,0,0.75,0.5,1,0,0,0,128,3,5,-2,8,4,4,1,2,3,2,-2,0,120,180,90,72,60,90,0,0,0,3,1,2,1,1,0,3,1,2,16,9,7,3,1,2,45,47,43,35,13,22,19,6,13,16,7,9,49,21,28,3,1,2,2,2,0,1,-1,2,2,0,2,1,1,0,1,1,0,1.75,0.5,3,2,2,2,0.75,0.5,1,1.25,1.5,1,1.25,1.5,1,0.75,0.5,1,0.5,1,0,4,4,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,4,4,4,4,0,0,2,2,2,2,0,0,2,2,2,2,100,100,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,100,100,100,100,4,1,0,2,1,0,2,0,0,100,25,0,100,50,0,100,0,0,0,0,0,-27,0,0,0,75,50,100,25,50,0,75,50,100,2,0,2,50,0,100,1,1,0,25,50,0,1,1,0,25,50,0,50,0,100,25,50,0,25,50,0,4.00,4.50,3.50,0.75,0.5,1.00,75,75,75,75,25,25,25,0,1.18,0.91,1.46,1.71,1.50,1.92,50,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,2,0,75,50,100,25,50,0,0
San Marino National Team,San Marino,2022,San Marino,7,5,2,0,0,0,0,3,2,1,4,3,1,0.43,0.4,0.5,0,0,0,125,2,7,-5,9,6,3,1,1,5,2,-4,-1,310,450,180,90,90,90,2,2,0,2,1,1,5,4,1,0,0,0,18,11,7,2,2,0,41,34,50,35,22,13,18,10,8,17,12,5,57,44,13,0,0,0,4,3,1,-4,-3,-1,0,0,0,3,2,1,3,2,1,0.5,0.5,0.5,1.29,1.2,1.5,0.29,0.2,0.5,1,1,1,0.67,0.75,0.5,0,0,0,0.67,0.75,0.5,5,3,1,0,0,0,3,2,1,0,0,0,2,1,0,0,0,0,2,4,6,7,7,7,2,3,4,5,5,5,0,1,2,2,2,2,71,43,14,0,0,0,60,40,20,0,0,0,100,50,0,0,0,0,29,57,86,100,100,100,40,60,80,100,100,100,0,50,100,100,100,100,3,1,0,2,1,0,1,0,0,50,17,0,50,25,0,50,0,0,0,0,0,0,29,40,0,29,20,50,71,80,50,0,0,0,3,2,1,50,50,50,6,4,2,100,100,100,0,0,0,0,0,0,0,0,0,50,50,50,50,50,50,3.60,3.67,3.50,0.5,0.67,0.00,100,80,80,60,20,20,0,0,1.00,1.05,0.92,1.47,1.65,1.20,14,0,0,0,0,0,0,1,0,1,0,2,2,0,0,1,1,0,0,43,40,50,57,60,50,0
Romania National Team,Romania,2022,Romania,4,2,2,0,1,0,1,1,0,1,2,2,0,1,0,2,0,0,0,109,8,5,3,13,4,9,1,7,3,2,-2,5,45,180,26,72,60,90,1,0,1,2,1,1,1,1,0,2,0,2,23,13,10,5,2,3,51,54,48,57,28,29,21,8,13,36,20,16,52,35,17,4,0,4,3,3,0,1,-3,4,2,0,2,0,0,0,2,2,0,1.5,0,3,3.25,2,4.5,2,0.5,3.5,1.25,1.5,1,1.75,1.5,2,1,0,2,0.75,1.5,0,4,3,3,2,1,0,2,1,1,0,0,0,2,2,2,2,1,0,0,1,1,2,3,4,0,1,1,2,2,2,0,0,0,0,1,2,100,75,75,50,25,0,100,50,50,0,0,0,100,100,100,100,50,0,0,25,25,50,75,100,0,50,50,100,100,100,0,0,0,0,50,100,4,3,0,2,1,0,2,2,0,100,75,0,100,50,0,100,100,0,25,0,50,-48,25,0,50,50,50,50,25,50,0,50,0,100,2,0,2,50,0,100,2,2,0,50,100,0,0,0,0,0,0,0,50,0,100,0,0,0,50,100,0,5.75,6.50,5.00,1.25,1,1.50,100,100,100,50,50,50,25,25,1.78,1.71,1.87,1.44,1.47,1.41,75,2,0,1,1,0,1,1,1,1,0,0,1,2,0,1,0,0,1,25,0,50,50,100,0,25
Sweden National Team,Sweden,2022,Sweden,2,1,1,0,2,1,1,0,0,0,0,0,0,3,3,3,0,0,0,71,4,1,3,5,2,3,2,2,0,1,2,1,45,45,45,180,0,90,1,1,0,1,0,1,0,0,0,2,1,1,8,4,4,2,2,0,39,41,36,21,12,9,8,5,3,13,7,6,19,10,9,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,2,3,1,2.5,2,3,2,2,2,0.5,0,1,0.5,1,0,0.5,1,0,0,0,0,2,2,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,2,2,0,0,1,1,1,1,0,0,0,1,1,1,100,100,50,0,0,0,100,100,0,0,0,0,100,100,100,0,0,0,0,0,50,100,100,100,0,0,100,100,100,100,0,0,0,100,100,100,1,0,0,1,0,0,0,0,0,50,0,0,100,0,0,0,0,0,100,100,100,50,50,100,0,50,0,100,0,0,0,100,100,100,2,1,1,100,100,100,1,0,1,50,0,100,0,0,0,0,0,0,50,100,0,50,0,100,0,0,0,4.00,4.00,4.00,1,2,0.00,0,0,0,0,0,0,0,0,1.16,1.33,0.99,1.52,1.10,1.93,50,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Germany National Team,Germany,2022,Germany,3,1,2,0,2,1,1,1,0,1,0,0,0,2.33,3,2,0,0,0,61,4,1,3,5,2,3,2,2,0,1,2,1,68,45,90,273,0,180,2,1,1,1,0,1,0,0,0,3,1,2,21,8,13,2,0,2,68,69,68,59,23,36,25,10,15,34,13,21,39,8,31,3,2,1,0,0,0,3,2,1,2,1,1,1,0,1,0,0,0,2.33,3,2,1.67,2,1.5,1.33,2,1,0.33,0,0.5,1,2,0.5,1,2,0.5,0,0,0,3,2,0,0,0,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1,3,3,3,3,0,0,1,1,1,1,0,1,2,2,2,2,100,67,0,0,0,0,100,100,0,0,0,0,100,50,0,0,0,0,0,33,100,100,100,100,0,0,100,100,100,100,0,50,100,100,100,100,2,1,0,1,1,0,1,0,0,67,33,0,100,100,0,50,0,0,67,100,50,75,67,100,50,33,0,50,0,0,0,100,100,100,3,1,2,100,100,100,1,0,1,33,0,50,0,0,0,0,0,0,67,100,50,33,0,50,0,0,0,7.00,8.00,6.50,0.67,0,1.00,100,100,67,67,0,0,0,0,2.57,3.18,2.29,0.84,0.60,0.96,67,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,0,0,33,0,50,0,0,0,0
Israel National Team,Israel,2022,Israel,5,3,2,0,1,1,0,1,1,0,3,1,2,0.8,1.33,0,0,0,0,94,9,11,-2,20,15,5,8,1,7,4,1,-3,50,34,180,41,39,45,0,0,0,4,3,1,1,0,1,2,1,1,25,21,4,5,1,4,54,58,47,52,40,12,28,21,7,24,19,5,47,31,16,3,2,1,6,4,2,-3,-2,-1,2,1,1,0,0,0,3,2,1,1.2,1,1.5,4,5,2.5,1.8,2.67,0.5,2.2,2.33,2,1.8,2,1.5,0.6,0.67,0.5,1.2,1.33,1,5,5,4,3,2,1,3,3,3,3,2,1,2,2,1,0,0,0,0,0,1,2,3,4,0,0,0,0,1,2,0,0,1,2,2,2,100,100,80,60,40,20,100,100,100,100,67,33,100,100,50,0,0,0,0,0,20,40,60,80,0,0,0,0,33,67,0,0,50,100,100,100,5,4,0,3,3,0,2,1,0,100,80,0,100,100,0,100,50,0,20,33,0,21,0,0,0,80,100,50,20,0,50,40,33,50,2,1,1,40,33,50,3,2,1,60,67,50,0,0,0,0,0,0,40,33,50,0,0,0,60,67,50,5.00,7.00,2.00,1,0.33,2.00,100,100,20,20,20,20,20,20,1.58,2.06,0.87,2.09,1.93,2.33,160,0,0,2,1,0,1,2,0,3,2,0,2,1,1,1,1,0,3,20,33,0,60,33,100,20
Italy National Team,Italy,2022,Italy,3,0,3,0,2,0,2,0,0,0,1,0,1,2,0,2,0,0,0,76,6,5,1,11,0,11,0,6,0,5,0,1,45,0,45,54,0,54,0,0,0,2,0,2,1,0,1,0,0,0,20,0,20,3,0,3,57,0,57,47,0,47,15,0,15,32,0,32,41,0,41,4,0,4,4,0,4,0,0,0,2,0,2,0,0,0,1,0,1,2,0,2,3.67,0,3.67,2,0,2,1.67,0,1.67,2.67,0,2.67,1.33,0,1.33,1.33,0,1.33,3,3,2,2,1,0,0,0,0,0,0,0,3,3,2,2,1,0,0,0,1,1,2,3,0,0,0,0,0,0,0,0,1,1,2,3,100,100,67,67,33,0,0,0,0,0,0,0,100,100,67,67,33,0,0,0,33,33,67,100,0,0,0,0,0,0,0,0,33,33,67,100,3,3,2,0,0,0,3,3,2,100,100,67,0,0,0,100,100,67,67,0,67,0,0,0,0,67,0,67,33,0,33,0,0,0,0,0,0,0,0,0,1,0,1,33,0,33,2,0,2,67,0,67,67,0,67,0,0,0,33,0,33,6.67,0.00,6.67,1,0,1.00,100,100,100,67,33,33,33,33,1.41,0.00,1.75,1.51,0.00,1.84,133,0,1,1,2,0,0,2,0,0,2,1,0,1,0,0,0,0,1,0,0,0,33,0,33,33
Lithuania National Team,Lithuania,2022,Lithuania,2,0,2,0,1,0,1,0,0,0,1,0,1,1.5,0,1.5,0,0,0,126,2,2,0,4,0,4,0,2,0,2,0,0,90,0,90,90,0,90,0,0,0,1,0,1,1,0,1,1,0,1,10,0,10,3,0,3,50,0,50,13,0,13,5,0,5,8,0,8,31,0,31,2,0,2,0,0,0,2,0,2,1,0,1,1,0,1,0,0,0,2,0,2,2,0,2,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,1,2,2,2,0,0,0,0,0,0,0,1,1,2,2,2,100,50,50,0,0,0,0,0,0,0,0,0,100,50,50,0,0,0,0,50,50,100,100,100,0,0,0,0,0,0,0,50,50,100,100,100,1,1,0,0,0,0,1,1,0,50,50,0,0,0,0,50,50,0,50,0,50,0,0,0,0,50,0,50,50,0,50,50,0,50,2,0,2,100,0,100,1,0,1,50,0,50,0,0,0,0,0,0,50,0,50,50,0,50,0,0,0,5.00,0.00,5.00,1.5,0,1.50,100,50,50,50,50,50,50,0,0.36,0.00,0.81,1.30,0.00,1.80,50,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,50,0,50,0
Jordan National Team,Jordan,2022,Jordan,6,4,2,0,4,3,1,0,0,0,2,1,1,2,2.25,1.5,0,0,0,13,10,6,4,16,11,5,7,3,4,2,3,1,54,51,60,90,90,90,3,2,1,3,2,1,0,0,0,5,3,2,22,12,10,1,0,1,44,43,46,61,38,23,23,15,8,38,23,15,5,5,0,5,4,1,3,2,1,2,2,0,2,2,0,3,1,2,1,1,0,1.5,1.75,1,2.67,2.75,2.5,1.67,1.75,1.5,1,1,1,1.33,1.5,1,0.83,1,0.5,0.5,0.5,0.5,6,5,3,2,0,0,4,3,2,2,0,0,2,2,1,0,0,0,0,1,3,4,6,6,0,1,2,2,4,4,0,0,1,2,2,2,100,83,50,33,0,0,100,75,50,50,0,0,100,100,50,0,0,0,0,17,50,67,100,100,0,25,50,50,100,100,0,0,50,100,100,100,4,3,1,3,2,1,1,1,0,67,50,17,75,50,25,50,50,0,67,75,50,0,50,50,50,50,50,50,0,0,0,83,75,100,3,2,1,50,50,50,3,2,1,50,50,50,2,1,1,33,25,50,33,50,0,50,25,100,17,25,0,4.40,4.00,5.00,0.33,0,0.50,80,60,40,40,0,0,0,0,1.45,1.41,1.50,1.36,1.53,1.10,33,0,1,2,1,1,0,1,2,2,0,1,1,1,0,1,1,0,1,0,0,0,33,25,50,0
Bahrain National Team,Bahrain,2022,Bahrain,11,9,2,0,6,4,2,1,1,0,4,4,0,1.73,1.44,3,0,0,0,2,15,15,0,30,26,4,12,3,14,1,-2,2,66,68,60,66,58,180,3,2,1,6,5,1,2,2,0,4,3,1,26,19,7,4,4,0,49,49,47,72,56,16,41,29,12,31,27,4,31,31,0,6,5,1,7,6,1,-1,-1,0,1,1,0,7,5,2,2,2,0,1,1,1,2.73,2.89,2,1.36,1.33,1.5,1.36,1.56,0.5,1.3,1.38,1,0.6,0.63,0.5,0.7,0.75,0.5,11,8,6,3,1,1,9,7,5,3,1,1,2,1,1,0,0,0,0,3,5,8,10,10,0,2,4,6,8,8,0,1,1,2,2,2,100,73,55,27,9,9,100,78,56,33,11,11,100,50,50,0,0,0,0,27,45,73,91,91,0,22,44,67,89,89,0,50,50,100,100,100,8,5,0,7,4,0,1,1,0,80,50,0,88,50,0,50,50,0,55,44,100,-9,27,22,50,55,56,50,18,22,0,36,33,50,3,2,1,30,25,50,4,3,1,40,38,50,5,4,1,50,50,50,10,13,0,70,63,100,20,25,0,2.89,2.71,3.50,0.8,0.8,0.00,78,44,22,11,0,0,0,0,1.22,1.17,1.41,1.32,1.23,1.62,73,0,2,2,1,2,1,1,0,5,4,2,0,0,3,3,0,0,3,9,11,0,36,44,0,0
