team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Finland National Team,Finland,2020,Finland,10,5,5,0,6,4,2,0,0,0,4,1,3,1.8,2.4,1.2,2,0,0,18,16,10,6,26,12,14,10,6,2,8,8,-2,56,45,75,90,225,56,6,4,2,3,1,2,1,0,1,7,4,3,44,25,19,15,6,9,53,54,51,133,79,54,60,32,28,73,47,26,117,56,61,5,2,3,3,0,3,2,2,0,5,2,3,3,3,0,2,0,2,1.8,1.8,1.8,2.6,2.4,2.8,1.6,2,1.2,1,0.4,1.6,0.8,0.4,1.2,0.5,0.4,0.6,0.3,0,0.6,10,9,5,1,1,0,5,4,3,0,0,0,5,5,2,1,1,0,0,1,5,9,9,10,0,1,2,5,5,5,0,0,3,4,4,5,100,90,50,10,10,0,100,80,60,0,0,0,100,100,40,20,20,0,0,10,50,90,90,100,0,20,40,100,100,100,0,0,60,80,80,100,7,1,0,2,0,0,5,1,0,70,10,0,40,0,0,100,20,0,60,80,40,43,60,80,40,30,20,40,10,0,20,70,80,60,8,5,3,80,100,60,5,3,2,50,60,40,0,0,0,0,0,0,50,40,60,30,60,0,20,0,40,4.40,5.00,3.80,1.5,1.2,1.80,70,70,70,40,10,10,0,0,1.65,1.86,1.43,1.62,1.39,1.85,40,0,1,2,2,0,3,3,4,1,1,0,1,1,1,2,1,3,0,0,0,0,40,20,60,0
Iceland National Team,Iceland,2020,Iceland,12,6,6,0,7,5,2,1,0,1,4,1,3,1.83,2.5,1.17,3,0,0,8,17,14,3,31,13,18,10,7,3,11,7,-4,63,54,77,77,180,49,5,3,2,5,2,3,3,1,2,8,5,3,47,28,19,17,7,10,46,45,48,151,75,76,60,32,28,91,43,48,155,81,74,10,7,3,3,1,2,7,6,1,8,5,3,2,1,1,2,0,2,2.17,2.67,1.67,2.58,2.17,3,1.42,1.67,1.17,1.17,0.5,1.83,1.08,1.33,0.83,0.83,1.17,0.5,0.25,0.17,0.33,11,9,7,2,1,1,6,4,3,0,0,0,5,5,4,2,1,1,1,3,5,10,11,11,0,2,3,6,6,6,1,1,2,4,5,5,92,75,58,17,8,8,100,67,50,0,0,0,83,83,67,33,17,17,8,25,42,83,92,92,0,33,50,100,100,100,17,17,33,67,83,83,10,2,1,5,2,1,5,0,0,83,17,8,83,33,17,83,0,0,58,83,33,38,42,50,33,42,33,50,25,17,33,67,83,50,9,5,4,75,83,67,4,1,3,33,17,50,1,1,0,8,17,0,67,83,50,17,17,17,17,0,33,3.92,4.67,3.17,1.42,1.17,1.67,92,75,67,50,25,17,8,8,1.49,1.49,1.49,1.38,1.21,1.56,67,0,3,3,4,1,2,2,2,0,0,1,0,2,0,2,3,2,4,8,0,17,33,17,50,8
Gibraltar National Team,Gibraltar,2020,Gibraltar,8,4,4,0,0,0,0,0,0,0,8,4,4,0,0,0,5,0,0,54,3,31,-28,34,19,15,3,0,16,15,-13,-15,237,120,0,23,23,24,0,0,0,2,2,0,6,2,4,0,0,0,12,8,4,15,8,7,30,33,27,45,31,14,20,16,4,25,15,10,61,37,24,0,0,0,11,5,6,-11,-5,-6,0,0,0,1,1,0,7,3,4,0.13,0.25,0,4.25,4.75,3.75,0.38,0.75,0,3.88,4,3.75,1.38,1.25,1.5,0,0,0,1.38,1.25,1.5,8,7,6,5,4,3,4,3,3,3,3,2,4,4,3,2,1,1,0,1,2,3,4,5,0,1,1,1,1,2,0,0,1,2,3,3,100,88,75,63,50,38,100,75,75,75,75,50,100,100,75,50,25,25,0,12,25,37,50,62,0,25,25,25,25,50,0,0,25,50,75,75,7,3,1,3,2,0,4,1,1,88,38,13,75,50,0,100,25,25,0,0,0,47,0,0,0,25,50,0,75,50,100,0,0,0,1,1,0,13,25,0,8,4,4,100,100,100,0,0,0,0,0,0,0,0,0,13,25,0,88,75,100,1.50,2.00,1.00,1.88,2,1.75,63,63,50,50,50,38,25,25,0.50,0.73,0.28,3.15,2.77,3.54,150,0,0,0,0,0,0,1,2,0,3,1,3,2,6,3,2,4,7,0,0,0,100,100,100,25
Belarus National Team,Belarus,2020,Belarus,9,4,5,0,1,0,1,1,1,0,7,3,4,0.44,0.25,0.6,4,0,0,43,4,17,-13,21,6,15,1,3,5,12,-4,-9,205,360,150,48,72,38,1,1,0,3,1,2,6,3,3,1,0,1,41,21,20,15,9,6,42,40,44,105,51,54,32,14,18,73,37,36,106,48,58,1,0,1,8,3,5,-7,-3,-4,0,0,0,4,2,2,5,2,3,0.44,0.5,0.4,2.33,1.5,3,0.44,0.25,0.6,1.89,1.25,2.4,1,0.75,1.2,0.11,0,0.2,0.89,0.75,1,8,6,5,2,0,0,3,2,1,0,0,0,5,4,4,2,0,0,1,3,4,7,9,9,1,2,3,4,4,4,0,1,1,3,5,5,89,67,56,22,0,0,75,50,25,0,0,0,100,80,80,40,0,0,11,33,44,78,100,100,25,50,75,100,100,100,0,20,20,60,100,100,6,3,0,2,1,0,4,2,0,67,33,0,50,25,0,80,40,0,11,0,20,-5,11,25,0,33,25,40,67,75,60,11,0,20,3,2,1,33,50,20,8,4,4,89,100,80,1,0,1,11,0,20,0,0,0,44,50,40,56,50,60,4.56,5.25,4.00,1.67,2.25,1.20,100,89,78,67,56,44,33,11,1.14,1.18,1.11,2.01,2.09,1.94,67,0,0,0,1,1,1,0,0,1,2,1,2,1,3,3,1,0,4,11,25,0,78,75,80,11
Czech Republic National Team,Czech Republic,2020,Czech Republic,8,4,4,0,5,4,1,0,0,0,3,0,3,1.88,3,0.75,2,0,0,26,13,11,2,24,12,12,9,4,3,8,6,-4,55,40,90,65,120,45,2,1,1,4,3,1,2,0,2,3,1,2,57,32,25,16,8,8,53,53,52,146,89,57,52,31,21,94,58,36,128,59,69,4,3,1,5,2,3,-1,1,-2,1,1,0,6,3,3,1,0,1,1.13,1.5,0.75,3,3,3,1.63,2.25,1,1.38,0.75,2,1.13,1.25,1,0.5,0.75,0.25,0.63,0.5,0.75,8,7,7,1,1,0,4,4,4,0,0,0,4,3,3,1,1,0,0,1,1,7,7,8,0,0,0,4,4,4,0,1,1,3,3,4,100,88,88,13,13,0,100,100,100,0,0,0,100,75,75,25,25,0,0,12,12,87,87,100,0,0,0,100,100,100,0,25,25,75,75,100,5,4,0,3,2,0,2,2,0,63,50,0,75,50,0,50,50,0,63,100,25,42,25,25,25,50,75,25,25,0,50,38,25,50,4,2,2,50,50,50,4,1,3,50,25,75,3,2,1,38,50,25,13,25,0,75,75,75,13,0,25,7.13,8.00,6.25,2,2,2.00,88,88,75,75,75,63,38,13,2.03,2.41,1.65,1.20,1.07,1.34,88,1,3,0,0,2,2,0,2,3,2,1,1,0,2,1,3,0,1,0,0,0,38,0,75,0
Montenegro National Team,Montenegro,2020,Montenegro,8,4,4,0,0,0,0,3,2,1,5,2,3,0.38,0.5,0.25,5,0,0,45,3,22,-19,25,11,14,2,1,9,13,-7,-12,237,180,360,33,40,28,1,1,0,3,2,1,5,2,3,2,1,1,26,9,17,19,7,12,43,44,43,76,42,34,32,15,17,44,27,17,108,57,51,1,1,0,11,3,8,-10,-2,-8,0,0,0,3,2,1,5,2,3,0.38,0.5,0.25,3.13,2.75,3.5,0.38,0.5,0.25,2.75,2.25,3.25,1.5,1,2,0.13,0.25,0,1.38,0.75,2,7,7,4,2,2,2,3,3,2,1,1,1,4,4,2,1,1,1,1,1,4,6,6,6,1,1,2,3,3,3,0,0,2,3,3,3,88,88,50,25,25,25,75,75,50,25,25,25,100,100,50,25,25,25,12,12,50,75,75,75,25,25,50,75,75,75,0,0,50,75,75,75,5,3,2,2,1,1,3,2,1,63,38,25,50,25,25,75,50,25,0,0,0,25,13,25,0,38,50,25,63,50,75,25,25,25,3,2,1,38,50,25,7,3,4,88,75,100,1,1,0,13,25,0,0,0,0,38,50,25,63,50,75,3.25,2.25,4.25,2.38,1.75,3.00,88,88,75,63,25,25,13,13,0.97,1.04,0.91,1.91,1.66,2.16,113,0,1,0,0,1,0,1,0,0,1,3,4,3,1,3,1,2,4,38,50,25,63,50,75,0
Switzerland National Team,Switzerland,2020,Switzerland,8,4,4,0,5,3,2,2,1,1,1,0,1,2.13,2.5,1.75,1,0,0,24,19,6,13,25,13,12,10,9,3,3,7,6,38,36,40,120,120,120,4,3,1,3,1,2,1,0,1,7,4,3,68,45,23,14,6,8,64,65,63,195,103,92,68,35,33,127,68,59,89,46,43,6,5,1,0,0,0,6,5,1,4,3,1,4,1,3,0,0,0,2,2.5,1.5,3.13,3.25,3,2.38,2.5,2.25,0.75,0.75,0.75,0.75,1.25,0.25,0.75,1.25,0.25,0,0,0,8,6,3,3,2,2,4,3,2,2,1,1,4,3,1,1,1,1,0,2,5,5,6,6,0,1,2,2,3,3,0,1,3,3,3,3,100,75,38,38,25,25,100,75,50,50,25,25,100,75,25,25,25,25,0,25,62,62,75,75,0,25,50,50,75,75,0,25,75,75,75,75,4,1,1,3,1,1,1,0,0,50,13,13,75,25,25,25,0,0,63,75,50,0,50,75,25,38,25,50,13,0,25,88,100,75,8,4,4,100,100,100,4,1,3,50,25,75,0,0,0,0,0,0,50,75,25,50,25,75,0,0,0,8.50,11.25,5.75,1.75,1.5,2.00,88,88,88,75,38,25,25,13,2.93,3.06,2.79,1.03,1.17,0.89,138,1,2,0,1,3,2,1,5,4,0,0,0,0,0,0,0,1,5,25,25,25,13,0,25,13
Serbia National Team,Serbia,2020,Serbia,10,5,5,0,5,2,3,3,2,1,2,1,1,1.8,1.6,2,3,0,0,17,20,19,1,39,22,17,12,8,10,9,2,-1,45,38,56,47,45,50,0,0,0,9,5,4,1,0,1,7,3,4,55,29,26,19,7,12,52,54,49,147,81,66,70,42,28,77,39,38,128,57,71,8,6,2,5,2,3,3,4,-1,3,2,1,5,2,3,2,1,1,1.4,1.6,1.2,3.9,4.4,3.4,2,2.4,1.6,1.9,2,1.8,1.3,1.6,1,0.8,1.2,0.4,0.5,0.4,0.6,10,10,8,6,4,1,5,5,4,4,3,1,5,5,4,2,1,0,0,0,2,4,6,9,0,0,1,1,2,4,0,0,1,3,4,5,100,100,80,60,40,10,100,100,80,80,60,20,100,100,80,40,20,0,0,0,20,40,60,90,0,0,20,20,40,80,0,0,20,60,80,100,7,5,1,4,3,1,3,2,0,70,50,10,80,60,20,60,40,0,50,40,60,8,0,0,0,90,100,80,10,0,20,70,60,80,6,3,3,60,60,60,5,2,3,50,40,60,2,1,1,20,20,20,30,40,20,50,40,60,20,20,20,5.50,5.80,5.20,1.9,1.4,2.40,80,80,60,60,40,20,20,10,1.78,1.98,1.59,1.69,1.28,2.10,120,2,2,0,3,2,3,2,1,4,0,0,2,1,3,4,1,5,3,30,40,20,20,20,20,0
Andorra National Team,Andorra,2020,Andorra,10,5,5,0,1,1,0,1,0,1,8,4,4,0.4,0.6,0.2,5,0,0,44,3,20,-17,23,12,11,1,2,11,9,-10,-7,300,450,225,45,41,50,1,1,0,1,0,1,8,4,4,1,1,0,14,11,3,28,15,13,30,30,30,58,26,32,20,9,11,38,17,21,183,100,83,1,0,1,11,7,4,-10,-7,-3,0,0,0,3,1,2,7,4,3,0.3,0.2,0.4,2.3,2.4,2.2,0.3,0.2,0.4,2,2.2,1.8,1.2,1.4,1,0.1,0,0.2,1.1,1.4,0.8,10,7,4,2,0,0,5,4,2,1,0,0,5,3,2,1,0,0,0,3,6,8,10,10,0,1,3,4,5,5,0,2,3,4,5,5,100,70,40,20,0,0,100,80,40,20,0,0,100,60,40,20,0,0,0,30,60,80,100,100,0,20,60,80,100,100,0,40,60,80,100,100,8,3,1,4,2,1,4,1,0,80,30,10,80,40,20,80,20,0,10,20,0,-22,10,20,0,10,0,20,80,80,80,10,20,0,2,1,1,20,20,20,9,5,4,90,100,80,1,0,1,10,0,20,0,0,0,30,20,40,70,80,60,1.40,2.20,0.60,2.8,3,2.60,70,70,50,40,20,10,10,10,0.54,0.53,0.55,2.23,1.81,2.64,30,0,1,0,0,1,0,1,0,0,2,3,4,1,1,3,1,1,4,10,0,20,80,80,80,0
Austria National Team,Austria,2020,Austria,10,5,5,0,6,4,2,1,0,1,3,1,2,1.9,2.4,1.4,2,0,0,14,19,9,10,28,15,13,12,7,3,6,9,1,47,38,64,100,150,75,4,2,2,4,2,2,3,1,2,5,3,2,68,32,36,19,6,13,59,58,60,201,102,99,74,39,35,127,63,64,146,63,83,7,4,3,4,1,3,3,3,0,3,2,1,6,3,3,1,0,1,1.5,1.8,1.2,2.8,3,2.6,1.9,2.4,1.4,0.9,0.6,1.2,1.1,1,1.2,0.7,0.8,0.6,0.4,0.2,0.6,9,5,5,4,3,2,5,3,3,2,1,1,4,2,2,2,2,1,1,5,5,6,7,8,0,2,2,3,4,4,1,3,3,3,3,4,90,50,50,40,30,20,100,60,60,40,20,20,80,40,40,40,40,20,10,50,50,60,70,80,0,40,40,60,80,80,20,60,60,60,60,80,6,4,1,3,2,0,3,2,1,60,40,10,60,40,0,60,40,20,60,80,40,30,40,40,40,40,40,40,30,20,40,50,60,40,7,4,3,70,80,60,4,2,2,40,40,40,3,1,2,30,20,40,30,40,20,60,60,60,10,0,20,6.80,6.40,7.20,1.9,1.2,2.60,90,80,80,70,60,40,30,10,2.34,2.40,2.29,1.13,1.11,1.15,70,3,1,1,1,2,2,1,4,4,0,1,0,2,1,1,3,0,1,10,0,20,30,20,40,0
