team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Finland National Team,Finland,2022/2023,Finland,6,3,3,0,2,1,1,2,2,0,2,0,2,1.33,1.67,1,2,0,0,27,8,6,2,14,6,8,4,4,2,4,2,0,68,68,68,90,134,68,2,1,1,3,2,1,1,0,1,4,3,1,32,15,17,12,7,5,57,50,64,71,32,39,25,11,14,46,21,25,61,31,30,6,4,2,3,0,3,3,4,-1,3,3,0,2,0,2,1,0,1,1.83,3,0.67,2.33,2,2.67,1.33,1.33,1.33,1,0.67,1.33,1.5,1.33,1.67,1,1.33,0.67,0.5,0,1,6,5,1,1,1,0,3,3,0,0,0,0,3,2,1,1,1,0,0,1,5,5,5,6,0,0,3,3,3,3,0,1,2,2,2,3,100,83,17,17,17,0,100,100,0,0,0,0,100,67,33,33,33,0,0,17,83,83,83,100,0,0,100,100,100,100,0,33,67,67,67,100,5,2,1,3,1,0,2,1,1,83,33,17,100,33,0,67,33,33,33,33,33,17,33,33,33,50,67,33,17,0,33,67,100,33,4,3,1,67,100,33,2,0,2,33,0,67,1,0,1,17,0,33,50,100,0,33,0,67,17,0,33,5.33,5.00,5.67,2,2.33,1.67,100,83,83,67,50,33,17,0,1.43,1.30,1.55,1.51,1.42,1.60,67,1,2,0,2,2,1,0,0,0,1,0,2,0,0,2,0,0,1,33,67,0,33,0,67,0
Iceland National Team,Iceland,2022/2023,Iceland,4,2,2,0,0,0,0,4,2,2,0,0,0,1,1,1,2,0,0,45,6,6,0,12,6,6,3,3,3,3,0,0,60,60,60,60,60,60,0,0,0,4,2,2,0,0,0,1,1,0,15,5,10,7,2,5,41,45,37,46,25,21,24,13,11,22,12,10,46,32,14,2,1,1,4,2,2,-2,-1,-1,0,0,0,2,1,1,2,1,1,0.5,0.5,0.5,3,3,3,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.5,0.5,0.5,1,1,1,4,4,2,2,0,0,2,2,1,1,0,0,2,2,1,1,0,0,0,0,2,2,4,4,0,0,1,1,2,2,0,0,1,1,2,2,100,100,50,50,0,0,100,100,50,50,0,0,100,100,50,50,0,0,0,0,50,50,100,100,0,0,50,50,100,100,0,0,50,50,100,100,4,2,0,2,1,0,2,1,0,100,50,0,100,50,0,100,50,0,0,0,0,0,0,0,0,100,100,100,0,0,0,25,50,0,0,0,0,0,0,0,2,1,1,50,50,50,2,1,1,50,50,50,0,0,0,50,50,50,50,50,50,3.75,2.50,5.00,1.75,1,2.50,100,100,50,50,50,25,25,25,1.41,1.58,1.25,2.12,1.95,2.28,75,1,0,0,0,2,2,0,0,1,0,0,2,2,0,0,1,0,1,100,100,100,0,0,0,25
Gibraltar National Team,Gibraltar,2022/2023,Gibraltar,6,3,3,0,0,0,0,1,1,0,5,2,3,0.17,0.33,0,4,0,0,52,3,18,-15,21,7,14,2,1,5,13,-3,-12,180,134,273,30,54,21,0,0,0,3,2,1,3,1,2,0,0,0,18,14,4,13,7,6,29,30,27,38,26,12,19,13,6,19,13,6,58,36,22,1,0,1,11,3,8,-10,-3,-7,0,0,0,0,0,0,6,3,3,0,0,0,3.5,2.33,4.67,0.5,0.67,0.33,3,1.67,4.33,2,1,3,0.17,0,0.33,1.83,1,2.67,6,6,4,3,1,1,3,3,1,0,0,0,3,3,3,3,1,1,0,0,2,3,5,5,0,0,2,3,3,3,0,0,0,0,2,2,100,100,67,50,17,17,100,100,33,0,0,0,100,100,100,100,33,33,0,0,33,50,83,83,0,0,67,100,100,100,0,0,0,0,67,67,6,3,2,3,0,0,3,3,2,100,50,33,100,0,0,100,100,67,0,0,0,39,0,0,0,50,67,33,50,33,67,0,0,0,0,0,0,0,0,0,5,3,2,83,100,67,1,0,1,17,0,33,0,0,0,0,0,0,100,100,100,3.00,4.67,1.33,2.17,2.33,2.00,100,83,50,50,50,50,33,17,0.59,0.81,0.38,2.51,2.18,2.85,117,0,0,1,0,0,0,1,1,0,1,4,2,3,2,2,0,0,4,17,33,0,83,67,100,0
Belarus National Team,Belarus,2022/2023,Belarus,6,3,3,0,0,0,0,3,2,1,3,1,2,0.5,0.67,0.33,4,0,0,47,3,7,-4,10,3,7,1,2,2,5,-1,-3,180,273,134,77,134,54,1,1,0,3,1,2,3,2,1,1,0,1,29,15,14,13,6,7,41,46,36,66,42,24,23,14,9,43,28,15,58,29,29,2,0,2,2,1,1,0,-1,1,1,0,1,4,2,2,1,1,0,1.17,0.67,1.67,1.67,1,2.33,0.5,0.33,0.67,1.17,0.67,1.67,0.67,0.33,1,0.33,0,0.67,0.33,0.33,0.33,5,4,1,0,0,0,2,1,0,0,0,0,3,3,1,0,0,0,1,2,5,6,6,6,1,2,3,3,3,3,0,0,2,3,3,3,83,67,17,0,0,0,67,33,0,0,0,0,100,100,33,0,0,0,17,33,83,100,100,100,33,67,100,100,100,100,0,0,67,100,100,100,3,1,0,1,0,0,2,1,0,50,17,0,33,0,0,67,33,0,0,0,0,5,17,33,0,50,33,67,50,67,33,17,0,33,4,2,2,67,67,67,4,3,1,67,100,33,1,0,1,17,0,33,17,0,33,67,67,67,17,33,0,4.83,5.00,4.67,2.17,2,2.33,83,83,83,83,83,67,50,17,1.27,1.53,1.01,1.67,1.57,1.76,50,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,2,2,1,50,67,33,50,33,67,17
Czech Republic National Team,Czech Republic,2022/2023,Czech Republic,6,3,3,0,1,1,0,1,1,0,4,1,3,0.67,1.33,0,4,0,0,43,5,13,-8,18,11,7,4,1,7,6,-3,-5,108,68,273,41,39,45,0,0,0,3,2,1,3,1,2,2,2,0,25,12,13,5,3,2,35,34,36,55,27,28,20,10,10,35,17,18,62,26,36,3,2,1,9,4,5,-6,-2,-4,0,0,0,2,2,0,4,1,3,0.33,0.67,0,3,3.67,2.33,0.83,1.33,0.33,2.17,2.33,2,2,2,2,0.5,0.67,0.33,1.5,1.33,1.67,6,6,4,2,0,0,3,3,3,2,0,0,3,3,1,0,0,0,0,0,2,4,6,6,0,0,0,1,3,3,0,0,2,3,3,3,100,100,67,33,0,0,100,100,100,67,0,0,100,100,33,0,0,0,0,0,33,67,100,100,0,0,0,33,100,100,0,0,67,100,100,100,6,5,1,3,3,0,3,2,1,100,83,17,100,100,0,100,67,33,17,33,0,27,0,0,0,50,67,33,50,33,67,33,67,0,0,0,0,0,0,0,3,1,2,50,33,67,3,2,1,50,67,33,0,0,0,33,67,0,67,33,100,4.17,4.00,4.33,0.83,1,0.67,100,83,83,83,67,17,0,0,0.95,0.96,0.95,1.58,1.81,1.35,67,1,1,0,0,1,1,1,0,0,0,0,3,3,3,1,0,1,2,17,33,0,67,33,100,0
Montenegro National Team,Montenegro,2022/2023,Montenegro,6,3,3,0,2,1,1,1,1,0,3,1,2,1.17,1.33,1,3,0,0,36,6,6,0,12,6,6,3,3,3,3,0,0,90,90,90,90,90,90,2,1,1,1,1,0,3,1,2,2,1,1,19,9,10,17,9,8,40,38,43,68,35,33,21,10,11,47,25,22,69,26,43,1,0,1,3,0,3,-2,0,-2,1,0,1,3,3,0,2,0,2,1,1,1,2,2,2,1,1,1,1,1,1,0.67,0,1.33,0.17,0,0.33,0.5,0,1,6,5,1,0,0,0,3,3,0,0,0,0,3,2,1,0,0,0,0,1,5,6,6,6,0,0,3,3,3,3,0,1,2,3,3,3,100,83,17,0,0,0,100,100,0,0,0,0,100,67,33,0,0,0,0,17,83,100,100,100,0,0,100,100,100,100,0,33,67,100,100,100,3,1,0,0,0,0,3,1,0,50,17,0,0,0,0,100,33,0,33,33,33,0,33,33,33,17,33,0,50,33,67,33,33,33,4,3,1,67,100,33,5,3,2,83,100,67,0,0,0,0,0,0,17,0,33,50,100,0,33,0,67,3.17,3.00,3.33,2.83,3,2.67,100,67,50,33,17,0,0,0,1.10,1.09,1.10,1.37,1.35,1.38,67,0,0,0,0,1,1,2,1,1,0,0,0,2,2,1,1,0,0,17,33,0,50,33,67,0
Switzerland National Team,Switzerland,2022/2023,Switzerland,6,3,3,0,3,2,1,0,0,0,3,1,2,1.5,2,1,3,0,0,24,6,9,-3,15,5,10,3,3,2,7,1,-4,90,90,90,60,134,39,1,1,0,3,1,2,2,1,1,3,2,1,28,9,19,15,8,7,44,43,44,61,30,31,25,8,17,36,22,14,81,38,43,5,3,2,6,2,4,-1,1,-2,3,2,1,1,0,1,2,1,1,1.67,2,1.33,2.5,1.67,3.33,1,1,1,1.5,0.67,2.33,1.83,1.67,2,0.83,1,0.67,1,0.67,1.33,6,4,4,1,0,0,3,1,1,0,0,0,3,3,3,1,0,0,0,2,2,5,6,6,0,2,2,3,3,3,0,0,0,2,3,3,100,67,67,17,0,0,100,33,33,0,0,0,100,100,100,33,0,0,0,33,33,83,100,100,0,67,67,100,100,100,0,0,0,67,100,100,6,3,2,3,1,1,3,2,1,100,50,33,100,33,33,100,67,33,50,67,33,28,17,33,0,50,33,67,33,33,33,50,67,33,2,1,1,33,33,33,2,1,1,33,33,33,2,1,1,33,33,33,50,67,33,17,0,33,33,33,33,4.67,3.00,6.33,2.5,2.67,2.33,83,83,83,83,50,17,17,17,1.06,0.94,1.19,1.36,1.05,1.67,67,1,0,3,0,1,1,0,0,0,0,3,0,2,1,2,1,0,0,0,0,0,50,33,67,17
Serbia National Team,Serbia,2022/2023,Serbia,6,3,3,0,4,2,2,1,0,1,1,1,0,2.17,2,2.33,1,0,0,9,13,5,8,18,11,7,8,5,3,2,5,3,41,34,54,108,90,134,2,0,2,3,2,1,1,1,0,4,1,3,29,19,10,15,5,10,58,60,56,70,44,26,33,18,15,37,26,11,62,28,34,7,3,4,3,3,0,4,0,4,4,1,3,1,1,0,1,1,0,2.17,1.33,3,3,3.67,2.33,2.17,2.67,1.67,0.83,1,0.67,1.67,2,1.33,1.17,1,1.33,0.5,1,0,6,4,3,3,2,0,3,2,2,2,2,0,3,2,1,1,0,0,0,2,3,3,4,6,0,1,1,1,1,3,0,1,2,2,3,3,100,67,50,50,33,0,100,67,67,67,67,0,100,67,33,33,0,0,0,33,50,50,67,100,0,33,33,33,33,100,0,33,67,67,100,100,6,3,1,3,2,1,3,1,0,100,50,17,100,67,33,100,33,0,67,67,67,2,33,0,67,50,67,33,17,33,0,67,33,100,3,0,3,50,0,100,1,1,0,17,33,0,2,2,0,33,67,0,67,33,100,17,33,0,17,33,0,4.83,6.33,3.33,2.5,1.67,3.33,50,50,33,33,33,33,0,0,1.46,1.77,1.15,1.03,1.01,1.05,67,1,1,1,1,4,2,1,0,2,0,1,2,0,1,1,0,0,0,17,0,33,17,33,0,0
Andorra National Team,Andorra,2022/2023,Andorra,6,3,3,0,2,1,1,2,2,0,2,0,2,1.33,1.67,1,3,0,0,29,6,7,-1,13,5,8,3,3,2,5,1,-2,90,90,90,77,134,54,2,1,1,3,2,1,2,1,1,2,1,1,17,14,3,11,6,5,42,43,41,72,42,30,25,15,10,47,27,20,87,41,46,2,0,2,2,0,2,0,0,0,1,0,1,4,3,1,1,0,1,1.17,1,1.33,2.17,1.67,2.67,1,1,1,1.17,0.67,1.67,0.67,0,1.33,0.33,0,0.67,0.33,0,0.67,5,5,3,0,0,0,2,2,1,0,0,0,3,3,2,0,0,0,1,1,3,6,6,6,1,1,2,3,3,3,0,0,1,3,3,3,83,83,50,0,0,0,67,67,33,0,0,0,100,100,67,0,0,0,17,17,50,100,100,100,33,33,67,100,100,100,0,0,33,100,100,100,3,1,0,0,0,0,3,1,0,50,17,0,0,0,0,100,33,0,33,33,33,22,33,33,33,50,67,33,33,33,33,33,33,33,4,3,1,67,100,33,4,3,1,67,100,33,1,0,1,17,0,33,17,0,33,67,100,33,17,0,33,2.83,4.67,1.00,1.83,2,1.67,50,50,33,0,0,0,0,0,1.30,1.52,1.08,1.17,1.19,1.14,83,1,0,0,0,1,0,0,2,2,1,0,1,0,2,0,0,1,2,33,67,0,33,0,67,0
Austria National Team,Austria,2022/2023,Austria,6,3,3,0,1,0,1,1,1,0,4,2,2,0.67,0.33,1,4,0,0,42,6,10,-4,16,9,7,3,3,6,4,-3,-1,90,90,90,54,45,68,1,0,1,3,3,0,2,0,2,2,1,1,22,13,9,10,6,4,43,45,42,64,34,30,22,10,12,42,24,18,69,35,34,3,2,1,4,2,2,-1,0,-1,2,1,1,2,1,1,2,1,1,1.33,1.33,1.33,2.67,3,2.33,1,1,1,1.67,2,1.33,1.17,1.33,1,0.5,0.67,0.33,0.67,0.67,0.67,6,6,3,1,0,0,3,3,2,1,0,0,3,3,1,0,0,0,0,0,3,5,6,6,0,0,1,2,3,3,0,0,2,3,3,3,100,100,50,17,0,0,100,100,67,33,0,0,100,100,33,0,0,0,0,0,50,83,100,100,0,0,33,67,100,100,0,0,67,100,100,100,5,2,0,3,1,0,2,1,0,83,33,0,100,33,0,67,33,0,17,0,33,-10,17,0,33,50,100,0,33,0,67,33,33,33,3,1,2,50,33,67,3,1,2,50,33,67,1,1,0,17,33,0,33,33,33,33,33,33,33,33,33,3.67,4.33,3.00,1.67,2,1.33,83,83,83,50,50,17,17,0,1.04,1.03,1.04,1.73,1.40,2.07,83,1,0,0,1,1,2,1,0,0,1,0,2,1,0,1,2,1,2,17,33,0,67,67,67,0
