team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Seychelles National Team,Seychelles,2022,Seychelles,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,52,0,10,-10,10,3,7,0,0,3,7,-3,-7,0,0,0,18,30,13,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,50,0,50,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,6,2,4,-6,-2,-4,0,0,0,0,0,0,2,1,1,0,0,0,5,3,7,0,0,0,5,3,7,3,2,4,0,0,0,3,2,4,2,2,2,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,100,100,100,50,50,50,100,100,100,0,0,0,100,100,100,100,100,100,0,0,0,50,50,50,0,0,0,100,100,100,0,0,0,0,0,0,2,2,1,1,1,0,1,1,1,100,100,50,100,100,0,100,100,100,0,0,0,20,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0.00,0.00,0.00,1,0,1.00,0,0,0,0,0,0,0,0,0.00,0.00,0.34,1.76,0.00,2.76,200,0,0,0,0,0,0,0,0,0,0,1,2,3,0,2,0,1,1,0,0,0,100,100,100,0
Swaziland National Team,Swaziland,2022,Swaziland,2,1,1,0,0,0,0,1,1,0,1,0,1,0.5,1,0,0,0,0,46,1,2,-1,3,0,3,0,1,0,2,0,-1,180,0,90,90,0,45,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,-1,0,-1,0,0,0,1,1,0,1,0,1,0.5,1,0,1.5,0,3,0.5,0,1,1,0,2,0.5,0,1,0,0,0,0.5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,2,2,2,1,1,1,1,1,1,0,0,0,1,1,1,50,50,50,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,50,50,50,100,100,100,100,100,100,100,100,100,0,0,0,100,100,100,1,0,0,0,0,0,1,0,0,50,0,0,0,0,0,100,0,0,0,0,0,0,50,100,0,50,0,100,50,100,0,0,0,0,1,1,0,50,100,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,50,100,0,50,0,100,0.00,0.00,0.00,2,1,3.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,50,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,50,100,0,50,0,100,0
Angola National Team,Angola,2022,Angola,8,4,4,0,3,2,1,2,1,1,3,1,2,1.38,1.75,1,0,0,0,19,9,9,0,18,12,6,7,2,5,4,2,-2,80,51,180,80,72,90,1,0,1,4,3,1,3,1,2,4,3,1,38,15,23,8,5,3,54,57,52,65,35,30,28,17,11,37,18,19,45,15,30,5,4,1,3,2,1,2,2,0,4,3,1,2,0,2,2,1,1,1.75,2.25,1.25,2.25,3,1.5,1.13,1.75,0.5,1.13,1.25,1,1,1.5,0.5,0.63,1,0.25,0.38,0.5,0.25,8,5,3,2,0,0,4,3,3,2,0,0,4,2,0,0,0,0,0,3,5,6,8,8,0,1,1,2,4,4,0,2,4,4,4,4,100,63,38,25,0,0,100,75,75,50,0,0,100,50,0,0,0,0,0,37,62,75,100,100,0,25,25,50,100,100,0,50,100,100,100,100,6,1,1,4,1,1,2,0,0,75,13,13,100,25,25,50,0,0,38,50,25,22,13,0,25,50,75,25,38,25,50,50,75,25,5,2,3,63,50,75,4,1,3,50,25,75,1,1,0,13,25,0,50,75,25,25,0,50,25,25,25,5.43,5.00,5.75,1,1.25,0.75,86,86,71,56,28,14,14,14,1.25,1.49,1.07,1.18,0.92,1.38,50,0,0,2,2,1,1,1,0,2,1,0,0,0,3,1,1,1,2,25,25,25,38,25,50,14
Lesotho National Team,Lesotho,2022,Lesotho,2,1,1,0,0,0,0,2,1,1,0,0,0,1,1,1,0,0,0,44,1,1,0,2,2,0,1,0,1,0,0,0,180,90,0,180,90,0,1,0,1,1,1,0,1,0,1,0,0,0,3,0,3,5,1,4,50,0,50,15,0,15,5,0,5,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,1,2,0,0.5,1,0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,0,0,1,1,1,1,1,1,1,1,1,1,50,50,0,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,50,50,100,100,100,100,0,0,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,100,50,100,0,50,0,100,0,0,0,2,1,1,100,100,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,3.00,0.00,3.00,2.5,1,4.00,100,100,100,100,100,100,100,0,0.49,0.00,1.39,1.23,0.00,2.23,50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,100,100,100,0,0,0,0
Botswana National Team,Botswana,2022,Botswana,2,1,1,0,0,0,0,1,1,0,1,0,1,0.5,1,0,0,0,0,48,0,1,-1,1,0,1,0,0,0,1,0,-1,0,0,0,180,0,90,1,1,0,0,0,0,2,1,1,0,0,0,3,3,0,6,3,3,48,48,0,7,7,0,6,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,1,1,0.5,0,1,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1,50,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,50,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50,100,0,0,0,0,100,100,100,0,0,0,2,1,1,100,100,100,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,100,100,100,0,0,0,3.00,3.00,0.00,3,3,3.00,0,0,0,0,0,0,0,0,0.34,1.24,0.00,0.36,1.36,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,100,0,50,0,100,0
Comoros National Team,Comoros,2022,Comoros,2,1,1,0,0,0,0,1,1,0,1,0,1,0.5,1,0,0,0,0,49,1,3,-2,4,2,2,1,0,1,2,0,-2,180,90,0,60,90,45,0,0,0,1,1,0,1,0,1,0,0,0,7,0,7,2,1,1,49,0,49,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,2,1,1,-2,-1,-1,0,0,0,0,0,0,2,1,1,0,0,0,2,2,2,0.5,1,0,1.5,1,2,1,1,1,0,0,0,1,1,1,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,0,0,1,1,1,1,0,0,1,1,1,1,100,100,0,0,0,0,100,100,0,0,0,0,100,100,0,0,0,0,0,0,100,100,100,100,0,0,100,100,100,100,0,0,100,100,100,100,2,0,0,1,0,0,1,0,0,100,0,0,100,0,0,100,0,0,0,0,0,67,0,0,0,50,100,0,50,0,100,0,0,0,0,0,0,0,0,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,7.00,0.00,7.00,1,1,1.00,100,100,100,100,100,0,0,0,0.00,0.00,0.56,0.32,0.00,1.32,50,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,50,100,0,50,0,100,0
São Tomé e Príncipe National Team,São Tomé e Príncipe,2022,São Tomé e Príncipe,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,50,1,3,-2,4,1,3,0,1,1,2,-1,-1,180,0,90,60,90,45,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,2,1,3,2,1,3,0.5,0,1,1.5,1,2,0.5,0,1,0.5,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,2,2,2,0,1,1,1,1,1,0,0,0,1,1,1,100,50,50,0,0,0,100,0,0,0,0,0,100,100,100,0,0,0,0,50,50,100,100,100,0,100,100,100,100,100,0,0,0,100,100,100,1,0,0,0,0,0,1,0,0,50,0,0,0,0,0,100,0,0,0,0,0,-34,0,0,0,50,0,100,50,100,0,50,0,100,2,1,1,100,100,100,1,1,0,50,100,0,0,0,0,0,0,0,50,0,100,50,100,0,0,0,0,0.00,0.00,0.00,0,0,0.00,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,100,100,100,0
Tanzania National Team,Tanzania,2022,Tanzania,8,4,4,0,2,1,1,4,1,3,2,2,0,1.25,1,1.5,0,0,0,21,8,10,-2,18,11,7,4,4,7,3,-3,1,90,90,90,72,51,120,1,0,1,5,2,3,2,2,0,4,2,2,40,32,8,15,3,12,53,56,48,54,37,17,22,15,7,32,22,10,10,10,0,6,3,3,5,4,1,1,-1,2,2,0,2,5,3,2,1,1,0,1.38,0.75,2,2.25,2.75,1.75,1,1,1,1.25,1.75,0.75,1.38,1.75,1,0.75,0.75,0.75,0.63,1,0.25,8,6,2,1,1,0,4,3,2,1,1,0,4,3,0,0,0,0,0,2,6,7,7,8,0,1,2,3,3,4,0,1,4,4,4,4,100,75,25,13,13,0,100,75,50,25,25,0,100,75,0,0,0,0,0,25,75,87,87,100,0,25,50,75,75,100,0,25,100,100,100,100,6,3,1,3,2,1,3,1,0,75,38,13,75,50,25,75,25,0,25,25,25,-20,13,0,25,63,50,75,25,50,0,50,50,50,4,1,3,50,25,75,3,2,1,38,50,25,3,2,1,38,50,25,25,0,50,63,75,50,13,25,0,5.71,8.00,2.67,1.88,0.75,3.00,86,71,71,43,28,28,28,28,1.34,1.58,1.04,1.30,0.98,1.72,50,2,0,3,1,0,1,0,0,1,1,0,1,1,2,0,1,2,2,50,25,75,25,50,0,14
Togo National Team,Togo,2022,Togo,8,4,4,0,3,1,2,3,2,1,2,1,1,1.5,1.25,1.75,0,0,0,16,8,7,1,15,7,8,4,4,3,4,1,0,90,90,90,102,120,90,2,1,1,4,2,2,2,1,1,5,2,3,31,22,9,17,10,7,49,52,44,73,45,28,32,14,18,41,31,10,10,10,0,4,2,2,1,1,0,3,1,2,4,2,2,3,1,2,1,1,0,1.88,1.75,2,1.88,1.75,2,1,1,1,0.88,0.75,1,0.63,0.75,0.5,0.5,0.5,0.5,0.13,0.25,0,8,6,1,0,0,0,4,3,0,0,0,0,4,3,1,0,0,0,0,2,7,8,8,8,0,1,4,4,4,4,0,1,3,4,4,4,100,75,13,0,0,0,100,75,0,0,0,0,100,75,25,0,0,0,0,25,87,100,100,100,0,25,100,100,100,100,0,25,75,100,100,100,5,0,0,3,0,0,2,0,0,63,0,0,75,0,0,50,0,0,38,25,50,8,25,25,25,50,50,50,25,25,25,63,50,75,7,3,4,88,75,100,4,2,2,50,50,50,0,0,0,0,0,0,50,50,50,38,25,50,13,25,0,4.43,5.50,3.00,2.13,2.5,1.75,100,56,28,28,28,14,0,0,1.45,1.43,1.48,1.38,1.32,1.47,38,1,0,0,1,2,1,1,1,1,0,0,1,0,1,2,0,1,2,38,50,25,25,25,25,0
Mauritius National Team,Mauritius,2022,Mauritius,2,1,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,54,0,3,-3,3,1,2,0,0,1,2,-1,-2,0,0,0,60,90,45,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,-2,-1,-1,0,0,0,0,0,0,2,1,1,0,0,0,1.5,1,2,0,0,0,1.5,1,2,1,1,1,0,0,0,1,1,1,2,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,2,2,2,2,0,1,1,1,1,1,0,0,1,1,1,1,100,50,0,0,0,0,100,0,0,0,0,0,100,100,0,0,0,0,0,50,100,100,100,100,0,100,100,100,100,100,0,0,100,100,100,100,2,0,0,1,0,0,1,0,0,100,0,0,100,0,0,100,0,0,0,0,0,17,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,2,1,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0.00,0.00,0.00,0.5,0,1.00,0,0,0,0,0,0,0,0,0.00,0.00,0.02,0.00,0.00,0.32,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,100,100,100,0
