team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Puerto Rico FC,Puerto Rico,2022,Puerto Rico,4,2,2,0,2,1,1,1,1,0,1,0,1,1.75,2,1.5,3,0,0,15,10,2,8,12,9,3,8,2,1,1,7,1,36,23,90,180,180,180,2,1,1,1,1,0,1,0,1,2,1,1,4,4,0,5,2,3,41,41,0,13,13,0,6,6,0,7,7,0,0,0,0,6,4,2,1,0,1,5,4,1,2,1,1,1,1,0,1,0,1,1.75,2,1.5,3,4.5,1.5,2.5,4,1,0.5,0.5,0.5,1.75,2,1.5,1.5,2,1,0.25,0,0.5,4,3,1,1,1,1,2,2,1,1,1,1,2,1,0,0,0,0,0,1,3,3,3,3,0,0,1,1,1,1,0,1,2,2,2,2,100,75,25,25,25,25,100,100,50,50,50,50,100,50,0,0,0,0,0,25,75,75,75,75,0,0,50,50,50,50,0,50,100,100,100,100,3,2,1,1,1,1,2,1,0,75,50,25,50,50,50,100,50,0,50,50,50,0,50,50,50,25,50,0,25,0,50,50,50,50,3,2,1,75,100,50,2,1,1,50,50,50,0,0,0,0,0,0,50,50,50,25,50,0,25,0,50,4.00,4.00,0.00,1.25,1,1.50,100,100,0,0,0,0,0,0,0.00,0.67,0.00,0.00,0.20,0.00,75,1,2,1,1,1,0,2,1,1,0,0,0,0,1,1,0,0,0,25,50,0,25,0,50,0
Canada National Team,Canada,2022,Canada,20,10,10,0,14,9,5,4,1,3,2,0,2,2.3,2.8,1.8,1,0,0,1,54,8,46,62,33,29,29,25,4,4,25,21,33,31,36,225,225,225,12,6,6,6,4,2,3,0,3,13,8,5,141,76,65,31,12,19,50,50,50,272,131,141,133,70,63,139,61,78,214,117,97,22,10,12,4,2,2,18,8,10,10,6,4,8,3,5,2,1,1,1.9,2.1,1.7,3.1,3.3,2.9,2.7,2.9,2.5,0.4,0.4,0.4,1.3,1.2,1.4,1.1,1,1.2,0.2,0.2,0.2,19,15,9,6,4,3,10,9,7,4,2,1,9,6,2,2,2,2,1,5,11,14,16,17,0,1,3,6,8,9,1,4,8,8,8,8,95,75,45,30,20,15,100,90,70,40,20,10,90,60,20,20,20,20,5,25,55,70,80,85,0,10,30,60,80,90,10,40,80,80,80,80,14,7,2,8,4,0,6,3,2,70,35,10,80,40,0,60,30,20,70,90,50,0,60,60,60,30,40,20,15,0,30,65,80,50,16,8,8,80,80,80,8,3,5,40,30,50,2,1,1,10,10,10,50,60,40,40,30,50,10,10,10,7.05,7.60,6.50,1.55,1.2,1.90,90,80,75,65,40,30,15,15,1.86,1.85,1.87,0.91,0.87,0.96,100,4,7,4,2,7,5,7,10,8,1,0,1,1,2,1,1,0,1,20,10,30,10,0,20,15
Haiti National Team,Haiti,2022,Haiti,5,3,2,0,3,2,1,0,0,0,2,1,1,1.8,2,1.5,1,0,0,10,13,4,9,17,4,13,3,10,1,3,2,7,35,90,18,113,273,60,3,2,1,0,0,0,2,1,1,3,2,1,40,22,18,8,6,2,53,56,50,76,40,36,38,16,22,38,24,14,0,0,0,5,0,5,1,1,0,4,-1,5,1,0,1,3,2,1,1,1,0,1.2,0.67,2,3.4,1.33,6.5,2.6,1,5,0.8,0.33,1.5,1.2,0.33,2.5,1,0,2.5,0.2,0.33,0,5,3,2,1,1,1,3,1,0,0,0,0,2,2,2,1,1,1,0,2,3,4,4,4,0,2,3,3,3,3,0,0,0,1,1,1,100,60,40,20,20,20,100,33,0,0,0,0,100,100,100,50,50,50,0,40,60,80,80,80,0,67,100,100,100,100,0,0,0,50,50,50,2,1,1,1,0,0,1,1,1,40,20,20,33,0,0,50,50,50,60,67,50,-2,60,67,50,0,0,0,40,33,50,60,67,50,4,2,2,80,67,100,4,3,1,80,100,50,0,0,0,0,0,0,20,0,50,60,67,50,20,33,0,8.00,7.33,9.00,2,2,2.00,100,100,100,100,80,60,40,40,1.65,1.42,2.00,0.52,0.46,0.62,100,0,0,2,2,2,1,1,2,3,0,1,0,0,1,0,0,1,1,0,0,0,40,33,50,40
Curaçao National Team,Curaçao,2022,Curaçao,6,3,3,0,3,1,2,2,2,0,1,0,1,1.83,1.67,2,2,0,0,8,16,3,13,19,5,14,5,11,0,3,5,8,34,54,25,180,0,90,4,3,1,2,0,2,2,2,0,3,1,2,24,9,15,4,1,3,55,60,50,73,32,41,36,12,24,37,20,17,16,0,16,12,4,8,1,0,1,11,4,7,3,1,2,3,2,1,0,0,0,2,1.67,2.33,3.17,1.67,4.67,2.67,1.67,3.67,0.5,0,1,2.17,1.33,3,2,1.33,2.67,0.17,0,0.33,4,4,4,2,2,1,1,1,1,1,1,0,3,3,3,1,1,1,2,2,2,4,4,5,2,2,2,2,2,3,0,0,0,2,2,2,67,67,67,33,33,17,33,33,33,33,33,0,100,100,100,33,33,33,33,33,33,67,67,83,67,67,67,67,67,100,0,0,0,67,67,67,3,3,3,1,1,1,2,2,2,50,50,50,33,33,33,67,67,67,50,33,67,32,67,100,33,33,0,67,33,67,0,50,33,67,5,3,2,83,100,67,3,2,1,50,67,33,1,0,1,17,0,33,50,33,67,50,67,33,0,0,0,4.00,3.00,5.00,1.33,1,1.50,67,17,17,17,17,0,0,0,1.40,1.14,1.65,0.88,0.76,0.99,133,4,3,2,1,2,1,0,0,3,0,0,1,0,0,1,0,1,0,33,67,0,17,0,33,0
Turks and Caicos Islands National Team,Turks and Caicos Islands,2022,Turks and Caicos Islands,3,2,1,0,0,0,0,0,0,0,3,2,1,0,0,0,5,0,0,32,0,22,-22,22,17,5,0,0,17,5,-17,-5,0,0,0,12,11,18,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,50,50,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,9,8,1,-9,-8,-1,0,0,0,0,0,0,3,2,1,0,0,0,7.33,8.5,5,0,0,0,7.33,8.5,5,3,4,1,0,0,0,3,4,1,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,100,100,100,100,100,67,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,100,3,2,2,2,2,2,1,0,0,100,67,67,100,100,100,100,0,0,0,0,0,-8,0,0,0,0,0,0,100,100,100,0,0,0,0,0,0,0,0,0,3,2,1,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,0.00,0.00,0.00,0,0,0.00,100,100,100,50,50,50,50,50,0.00,0.00,0.00,2.58,3.08,0.00,300,0,0,0,0,0,0,0,0,0,2,0,2,2,6,2,0,2,6,0,0,0,100,100,100,50
Barbados National Team,Barbados,2022,Barbados,4,2,2,0,1,1,0,2,1,1,1,0,1,1.25,2,0.5,3,0,0,20,3,3,0,6,3,3,2,1,1,2,1,-1,120,90,180,120,180,90,1,1,0,2,1,1,1,0,1,3,2,1,18,15,3,3,2,1,49,50,48,23,15,8,13,7,6,10,8,2,16,0,16,1,0,1,0,0,0,1,0,1,1,0,1,3,2,1,0,0,0,1.5,1,2,1.5,1.5,1.5,0.75,1,0.5,0.75,0.5,1,0.25,0,0.5,0.25,0,0.5,0,0,0,4,2,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,0,2,4,4,4,4,0,1,2,2,2,2,0,1,2,2,2,2,100,50,0,0,0,0,100,50,0,0,0,0,100,50,0,0,0,0,0,50,100,100,100,100,0,50,100,100,100,100,0,50,100,100,100,100,1,0,0,0,0,0,1,0,0,25,0,0,0,0,0,50,0,0,25,50,0,33,25,50,0,50,50,50,25,0,50,75,100,50,4,2,2,100,100,100,3,2,1,75,100,50,0,0,0,0,0,0,25,0,50,75,100,50,0,0,0,4.50,7.50,1.50,1,2,0.50,75,25,25,25,25,25,0,0,0.50,0.71,0.28,1.01,0.26,1.75,25,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,2,50,50,50,25,0,50,0
Dominica National Team,Dominica,2022,Dominica,4,2,2,0,1,1,0,1,0,1,2,1,1,1,1.5,0.5,4,0,0,21,5,4,1,9,6,3,4,1,2,2,2,-1,72,45,180,90,90,90,1,1,0,2,1,1,1,0,1,1,1,0,1,0,1,6,3,3,43,36,50,10,5,5,5,2,3,5,3,2,0,0,0,3,3,0,1,1,0,2,2,0,1,1,0,2,0,2,1,1,0,1.25,1.5,1,2.25,3,1.5,1.25,2,0.5,1,1,1,1,2,0,0.75,1.5,0,0.25,0.5,0,4,3,2,0,0,0,2,2,2,0,0,0,2,1,0,0,0,0,0,1,2,4,4,4,0,0,0,2,2,2,0,1,2,2,2,2,100,75,50,0,0,0,100,100,100,0,0,0,100,50,0,0,0,0,0,25,50,100,100,100,0,0,0,100,100,100,0,50,100,100,100,100,2,1,1,2,1,1,0,0,0,50,25,25,100,50,50,0,0,0,25,50,0,0,25,50,0,50,50,50,25,0,50,25,50,0,3,1,2,75,50,100,3,1,2,75,50,100,0,0,0,0,0,0,25,50,0,50,0,100,25,50,0,0.50,0.00,1.00,1.5,1.5,1.50,50,50,50,50,50,0,0,0,0.00,0.00,0.00,0.86,1.39,0.33,75,1,0,0,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,25,0,50,50,50,50,0
Dominican Republic National Team,Dominican Republic,2022,Dominican Republic,4,2,2,0,2,1,1,1,1,0,1,0,1,1.75,2,1.5,2,0,0,17,8,4,4,12,3,9,2,6,1,3,1,3,45,90,30,90,180,60,2,1,1,1,1,0,1,0,1,2,1,1,19,7,12,2,1,1,48,50,48,35,13,22,19,8,11,16,5,11,16,0,16,3,0,3,2,1,1,1,-1,2,1,0,1,1,1,0,2,1,1,1,0.5,1.5,3,1.5,4.5,2,1,3,1,0.5,1.5,1.25,0.5,2,0.75,0,1.5,0.5,0.5,0.5,4,3,2,1,1,1,2,1,0,0,0,0,2,2,2,1,1,1,0,1,2,3,3,3,0,1,2,2,2,2,0,0,0,1,1,1,100,75,50,25,25,25,100,50,0,0,0,0,100,100,100,50,50,50,0,25,50,75,75,75,0,50,100,100,100,100,0,0,0,50,50,50,3,1,1,1,0,0,2,1,1,75,25,25,50,0,0,100,50,50,50,50,50,0,50,50,50,25,50,0,25,0,50,50,50,50,2,1,1,50,50,50,3,2,1,75,100,50,0,0,0,0,0,0,25,0,50,25,50,0,50,50,50,6.33,7.00,6.00,0.67,0.5,1.00,100,33,33,33,33,0,0,0,1.03,0.97,1.07,0.13,0.00,0.29,75,0,0,3,0,1,1,1,1,1,1,0,0,0,1,0,1,0,1,25,50,0,25,0,50,0
Cuba National Team,Cuba,2022,Cuba,4,2,2,0,2,1,1,0,0,0,2,1,1,1.5,1.5,1.5,3,0,0,19,7,3,4,10,8,2,6,1,2,1,4,0,51,30,180,120,90,180,2,1,1,1,1,0,1,0,1,2,1,1,18,17,1,5,0,5,53,59,41,42,40,2,18,18,0,24,22,2,0,0,0,2,2,0,2,2,0,0,0,0,1,1,0,2,0,2,1,1,0,1.25,1.5,1,2.5,4,1,1.75,3,0.5,0.75,1,0.5,1,2,0,0.5,1,0,0.5,1,0,4,2,2,1,1,0,2,2,2,1,1,0,2,0,0,0,0,0,0,2,2,3,3,4,0,0,0,1,1,2,0,2,2,2,2,2,100,50,50,25,25,0,100,100,100,50,50,0,100,0,0,0,0,0,0,50,50,75,75,100,0,0,0,50,50,100,0,100,100,100,100,100,2,1,1,2,1,1,0,0,0,50,25,25,100,50,50,0,0,0,50,50,50,19,50,50,50,25,50,0,25,0,50,50,50,50,3,1,2,75,50,100,2,0,2,50,0,100,1,1,0,25,50,0,25,50,0,50,0,100,25,50,0,6.00,8.50,1.00,2.5,0,2.50,33,33,33,33,33,33,0,0,1.00,1.80,0.00,0.32,0.29,0.39,100,0,0,1,1,0,0,2,2,1,1,0,0,0,1,1,0,0,0,0,0,0,50,50,50,0
Antigua and Barbuda National Team,Antigua and Barbuda,2022,Antigua and Barbuda,4,2,2,0,2,1,1,1,1,0,1,0,1,1.75,2,1.5,3,0,0,16,6,5,1,11,5,6,3,3,2,3,1,0,60,60,60,72,90,60,2,1,1,1,1,0,1,0,1,2,1,1,4,0,4,3,2,1,33,0,33,4,0,4,2,0,2,2,0,2,0,0,0,6,3,3,3,2,1,3,1,2,2,1,1,1,1,0,1,0,1,1.75,2,1.5,2.75,2.5,3,1.5,1.5,1.5,1.25,1,1.5,2.25,2.5,2,1.5,1.5,1.5,0.75,1,0.5,4,3,3,1,0,0,2,1,1,1,0,0,2,2,2,0,0,0,0,1,1,3,4,4,0,1,1,1,2,2,0,0,0,2,2,2,100,75,75,25,0,0,100,50,50,50,0,0,100,100,100,0,0,0,0,25,25,75,100,100,0,50,50,50,100,100,0,0,0,100,100,100,4,2,2,2,1,1,2,1,1,100,50,50,100,50,50,100,50,50,50,50,50,10,50,50,50,25,50,0,25,0,50,50,50,50,2,1,1,50,50,50,1,0,1,25,0,50,1,1,0,25,50,0,50,50,50,25,50,0,25,0,50,4.00,0.00,4.00,1,1,1.00,100,100,100,100,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.91,75,0,1,2,1,2,0,0,0,0,1,0,1,1,0,0,1,0,1,25,50,0,25,0,50,0
