team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Finland National Team,Finland,2022,Finland,8,4,4,0,3,1,2,2,1,1,3,2,1,1.38,1,1.75,3,0,0,32,10,10,0,20,10,10,4,6,6,4,-2,2,72,90,60,72,60,90,2,1,1,4,2,2,2,1,1,3,1,2,31,18,13,13,5,8,47,50,43,84,43,41,31,14,17,53,29,24,65,34,31,3,1,2,3,2,1,0,-1,1,2,0,2,4,3,1,2,1,1,1.25,0.75,1.75,2.5,2.5,2.5,1.25,1,1.5,1.25,1.5,1,0.75,0.75,0.75,0.38,0.25,0.5,0.38,0.5,0.25,8,7,3,2,0,0,4,3,2,1,0,0,4,4,1,1,0,0,0,1,5,6,8,8,0,1,2,3,4,4,0,0,3,3,4,4,100,88,38,25,0,0,100,75,50,25,0,0,100,100,25,25,0,0,0,12,62,75,100,100,0,25,50,75,100,100,0,0,75,75,100,100,4,1,1,1,1,1,3,0,0,50,13,13,25,25,25,75,0,0,38,25,50,-20,25,25,25,50,50,50,25,25,25,38,25,50,6,3,3,75,75,75,5,3,2,63,75,50,1,1,0,13,25,0,25,0,50,50,75,25,25,25,25,3.88,4.50,3.25,1.63,1.25,2.00,63,38,38,38,38,38,25,13,0.99,0.99,0.98,1.48,1.31,1.66,75,0,0,2,0,2,3,0,2,1,1,0,1,1,0,2,2,2,1,25,25,25,38,50,25,0
Iceland National Team,Iceland,2022,Iceland,10,5,5,0,2,1,1,3,2,1,5,2,3,0.9,1,0.8,5,0,0,36,12,18,-6,30,16,14,7,5,9,9,-2,-4,75,64,90,50,50,50,2,1,1,4,2,2,5,2,3,2,1,1,56,21,35,20,9,11,48,51,46,124,66,58,48,26,22,76,40,36,129,75,54,4,2,2,7,4,3,-3,-2,-1,2,1,1,3,1,2,5,3,2,0.9,0.8,1,3,3.2,2.8,1.2,1.4,1,1.8,1.8,1.8,1.1,1.2,1,0.4,0.4,0.4,0.7,0.8,0.6,9,9,6,5,1,0,5,5,3,3,0,0,4,4,3,2,1,0,1,1,4,5,9,10,0,0,2,2,5,5,1,1,2,3,4,5,90,90,60,50,10,0,100,100,60,60,0,0,80,80,60,40,20,0,10,10,40,50,90,100,0,0,40,40,100,100,20,20,40,60,80,100,7,4,0,4,2,0,3,2,0,70,40,0,80,40,0,60,40,0,20,20,20,0,20,20,20,40,40,40,50,40,60,20,20,20,5,2,3,50,40,60,8,4,4,80,80,80,0,0,0,0,0,0,20,20,20,30,20,40,50,60,40,5.60,4.20,7.00,2,1.8,2.20,80,80,70,70,50,40,30,30,1.28,1.37,1.20,1.41,1.45,1.38,70,0,2,0,1,1,1,0,4,3,4,1,1,1,1,4,1,2,3,30,40,20,50,40,60,10
Gibraltar National Team,Gibraltar,2022,Gibraltar,10,5,5,0,0,0,0,0,0,0,10,5,5,0,0,0,6,0,0,54,4,43,-39,47,20,27,1,3,19,24,-18,-21,225,450,150,21,24,19,0,0,0,4,1,3,6,4,2,1,1,0,9,8,1,23,11,12,26,28,25,36,17,19,14,7,7,22,10,12,89,56,33,3,1,2,17,6,11,-14,-5,-9,0,0,0,3,2,1,7,3,4,0.3,0.4,0.2,4.7,4,5.4,0.4,0.2,0.6,4.3,3.8,4.8,2,1.4,2.6,0.3,0.2,0.4,1.7,1.2,2.2,10,10,10,7,5,4,5,5,5,2,1,1,5,5,5,5,4,3,0,0,0,3,5,6,0,0,0,3,4,4,0,0,0,0,1,2,100,100,100,70,50,40,100,100,100,40,20,20,100,100,100,100,80,60,0,0,0,30,50,60,0,0,0,60,80,80,0,0,0,0,20,40,8,7,4,4,3,0,4,4,4,80,70,40,80,60,0,80,80,80,0,0,0,-19,0,0,0,40,20,60,60,80,40,10,20,0,2,1,1,20,20,20,7,4,3,70,80,60,3,1,2,30,20,40,0,0,0,30,40,20,70,60,80,0.90,1.60,0.20,2.3,2.2,2.40,80,70,70,70,60,60,40,30,0.18,0.19,0.18,3.06,2.64,3.49,120,1,0,1,0,1,0,0,1,0,2,1,5,2,9,6,6,3,9,0,0,0,100,100,100,20
Belarus National Team,Belarus,2022,Belarus,8,4,4,0,1,1,0,0,0,0,7,3,4,0.38,0.75,0,5,0,0,48,7,24,-17,31,14,17,6,1,8,16,-2,-15,102,60,360,30,45,23,0,0,0,3,2,1,5,2,3,0,0,0,18,9,9,17,12,5,38,41,35,58,31,27,19,12,7,39,19,20,96,53,43,1,1,0,10,3,7,-9,-2,-7,0,0,0,2,1,1,5,2,3,0.29,0.33,0.25,3.88,3.5,4.25,0.88,1.5,0.25,3,2,4,1.57,1.33,1.75,0.14,0.33,0,1.43,1,1.75,8,6,4,4,4,3,4,3,2,2,2,1,4,3,2,2,2,2,0,2,4,4,4,5,0,1,2,2,2,3,0,1,2,2,2,2,100,75,50,50,50,38,100,75,50,50,50,25,100,75,50,50,50,50,0,25,50,50,50,62,0,25,50,50,50,75,0,25,50,50,50,50,6,3,1,3,1,0,3,2,1,86,43,14,100,33,0,75,50,25,13,25,0,52,0,0,0,38,50,25,63,50,75,0,0,0,1,0,1,14,0,25,6,2,4,86,67,100,1,1,0,14,33,0,0,0,0,29,33,25,71,67,75,2.25,2.25,2.25,2.13,3,1.25,88,75,25,25,25,25,25,25,0.49,0.55,0.42,1.88,1.67,2.08,138,0,0,0,0,1,0,1,0,3,1,3,1,4,3,2,2,2,3,0,0,0,88,75,100,13
Czech Republic National Team,Czech Republic,2022,Czech Republic,9,4,5,0,4,2,2,2,2,0,3,0,3,1.56,2,1.2,3,0,0,29,14,10,4,24,9,15,6,8,3,7,3,1,58,60,56,81,120,64,3,2,1,3,2,1,3,0,3,4,3,1,56,29,27,16,6,10,55,54,56,148,72,76,57,25,32,91,47,44,116,42,74,7,2,5,4,1,3,3,1,2,3,1,2,5,3,2,1,0,1,1.56,1.5,1.6,2.67,2.25,3,1.56,1.5,1.6,1.11,0.75,1.4,1.22,0.75,1.6,0.78,0.5,1,0.44,0.25,0.6,9,6,3,2,1,1,4,3,1,1,0,0,5,3,2,1,1,1,0,3,6,7,8,8,0,1,3,3,4,4,0,2,3,4,4,4,100,67,33,22,11,11,100,75,25,25,0,0,100,60,40,20,20,20,0,33,67,78,89,89,0,25,75,75,100,100,0,40,60,80,80,80,5,3,1,2,1,0,3,2,1,56,33,11,50,25,0,60,40,20,44,50,40,14,33,50,20,33,50,20,33,0,60,44,75,20,6,3,3,67,75,60,5,2,3,56,50,60,2,1,1,22,25,20,33,25,40,56,75,40,11,0,20,6.22,7.25,5.40,1.78,1.5,2.00,89,78,56,33,22,22,22,11,1.79,1.84,1.74,0.96,0.99,0.94,78,0,1,2,3,4,2,1,0,1,1,1,0,1,1,1,2,0,2,22,50,0,33,0,60,0
Montenegro National Team,Montenegro,2022,Montenegro,10,5,5,0,3,1,2,3,2,1,4,2,2,1.2,1,1.4,4,0,0,30,14,15,-1,29,13,16,7,7,6,9,1,-2,64,64,64,60,75,50,2,1,1,5,3,2,4,2,2,3,2,1,58,34,24,24,7,17,48,46,49,160,87,73,56,35,21,104,52,52,122,64,58,7,3,4,9,4,5,-2,-1,-1,2,1,1,3,2,1,5,2,3,0.9,1,0.8,2.9,2.6,3.2,1.4,1.4,1.4,1.5,1.2,1.8,1.6,1.4,1.8,0.7,0.6,0.8,0.9,0.8,1,9,8,7,4,1,0,4,3,3,2,1,0,5,5,4,2,0,0,1,2,3,6,9,10,1,2,2,3,4,5,0,0,1,3,5,5,90,80,70,40,10,0,80,60,60,40,20,0,100,100,80,40,0,0,10,20,30,60,90,100,20,40,40,60,80,100,0,0,20,60,100,100,9,5,2,4,2,1,5,3,1,90,50,20,80,40,20,100,60,20,30,20,40,10,20,20,20,50,60,40,40,40,40,30,40,20,2,1,1,20,20,20,5,3,2,50,60,40,4,2,2,40,40,40,20,20,20,30,40,20,50,40,60,5.80,6.80,4.80,2.4,1.4,3.40,70,50,50,40,30,30,20,20,1.60,1.80,1.40,1.22,0.96,1.48,80,2,0,1,1,3,1,1,1,4,1,0,4,4,0,2,2,1,1,30,40,20,40,40,40,0
Switzerland National Team,Switzerland,2022,Switzerland,8,4,4,0,5,3,2,3,1,2,0,0,0,2.25,2.5,2,1,0,0,16,15,2,13,17,7,10,7,8,0,2,7,6,48,51,45,360,0,180,6,4,2,2,0,2,2,1,1,6,3,3,70,50,20,13,7,6,63,64,62,135,80,55,56,33,23,79,47,32,101,48,53,9,2,7,1,0,1,8,2,6,4,2,2,4,2,2,0,0,0,2,2,2,2.13,1.75,2.5,1.88,1.75,2,0.25,0,0.5,1.25,0.5,2,1.13,0.5,1.75,0.13,0,0.25,6,5,3,3,0,0,3,2,1,1,0,0,3,3,2,2,0,0,2,3,5,5,8,8,1,2,3,3,4,4,1,1,2,2,4,4,75,63,38,38,0,0,75,50,25,25,0,0,75,75,50,50,0,0,25,37,62,62,100,100,25,50,75,75,100,100,25,25,50,50,100,100,5,3,2,2,0,0,3,3,2,63,38,25,50,0,0,75,75,50,63,75,50,47,75,100,50,25,0,50,25,25,25,75,75,75,7,4,3,88,100,75,3,2,1,38,50,25,1,0,1,13,0,25,50,50,50,50,50,50,0,0,0,8.75,12.50,5.00,1.63,1.75,1.50,88,75,63,63,50,25,25,25,1.80,2.12,1.49,0.57,0.51,0.64,75,3,2,0,1,4,1,0,1,3,0,0,0,1,1,0,0,0,0,38,25,50,0,0,0,25
Serbia National Team,Serbia,2022,Serbia,8,4,4,0,6,3,3,2,1,1,0,0,0,2.5,2.5,2.5,1,0,0,14,18,9,9,27,18,9,12,6,6,3,6,3,40,30,60,80,60,120,1,0,1,7,4,3,0,0,0,5,2,3,59,25,34,16,6,10,55,53,57,133,71,62,61,32,29,72,39,33,107,55,52,7,4,3,5,4,1,2,0,2,3,1,2,4,2,2,1,1,0,1.63,1.25,2,3.38,4.5,2.25,2.25,3,1.5,1.13,1.5,0.75,1.5,2,1,0.88,1,0.75,0.63,1,0.25,8,7,6,4,2,0,4,4,4,4,2,0,4,3,2,0,0,0,0,1,2,4,6,8,0,0,0,0,2,4,0,1,2,4,4,4,100,88,75,50,25,0,100,100,100,100,50,0,100,75,50,0,0,0,0,12,25,50,75,100,0,0,0,0,50,100,0,25,50,100,100,100,7,5,0,4,4,0,3,1,0,88,63,0,100,100,0,75,25,0,75,75,75,0,13,0,25,88,100,75,0,0,0,63,50,75,4,1,3,50,25,75,2,1,1,25,25,25,3,2,1,38,50,25,38,25,50,50,50,50,13,25,0,7.38,6.25,8.50,2,1.5,2.50,100,88,88,75,75,63,38,25,1.82,1.92,1.73,0.85,0.88,0.82,88,0,2,2,3,1,2,2,1,5,1,2,0,1,1,1,0,1,2,25,25,25,0,0,0,13
Andorra National Team,Andorra,2022,Andorra,10,5,5,0,2,1,1,0,0,0,8,4,4,0.6,0.6,0.6,5,0,0,42,8,24,-16,32,18,14,4,4,14,10,-10,-6,113,113,113,38,32,45,2,1,1,3,2,1,5,2,3,2,1,1,20,13,7,32,16,16,27,28,25,65,30,35,33,14,19,32,16,16,191,103,88,4,3,1,11,7,4,-7,-4,-3,2,1,1,1,0,1,7,4,3,0.7,0.6,0.8,3.2,3.6,2.8,0.8,0.8,0.8,2.4,2.8,2,1.5,2,1,0.4,0.6,0.2,1.1,1.4,0.8,10,8,7,4,3,0,5,4,3,3,3,0,5,4,4,1,0,0,0,2,3,6,7,10,0,1,2,2,2,5,0,1,1,4,5,5,100,80,70,40,30,0,100,80,60,60,60,0,100,80,80,20,0,0,0,20,30,60,70,100,0,20,40,40,40,100,0,20,20,80,100,100,9,4,1,5,3,1,4,1,0,90,40,10,100,60,20,80,20,0,20,20,20,-9,20,20,20,30,40,20,50,40,60,20,20,20,3,1,2,30,20,40,7,3,4,70,60,80,1,1,0,10,20,0,20,20,20,10,0,20,70,80,60,2.00,2.60,1.40,3.2,3.2,3.20,80,50,30,20,20,20,20,10,0.47,0.44,0.50,1.74,1.78,1.70,80,1,1,1,0,1,1,0,0,3,2,4,1,1,3,4,0,5,4,0,0,0,80,80,80,10
Austria National Team,Austria,2022,Austria,11,5,6,0,5,3,2,1,0,1,5,2,3,1.45,1.8,1.17,3,0,0,23,20,19,1,39,20,19,11,9,9,10,2,-1,49,41,60,52,50,54,2,0,2,6,3,3,3,2,1,4,1,3,51,28,23,13,3,10,61,61,62,176,81,95,71,36,35,105,45,60,129,60,69,8,5,3,7,3,4,1,2,-1,4,2,2,3,1,2,4,2,2,1.36,1.4,1.33,3.55,4,3.17,1.82,2.2,1.5,1.73,1.8,1.67,1.36,1.6,1.17,0.73,1,0.5,0.64,0.6,0.67,11,9,7,6,3,2,5,4,4,4,2,1,6,5,3,2,1,1,0,2,4,5,8,9,0,1,1,1,3,4,0,1,3,4,5,5,100,82,64,55,27,18,100,80,80,80,40,20,100,83,50,33,17,17,0,18,36,45,73,82,0,20,20,20,60,80,0,17,50,67,83,83,8,3,2,4,2,1,4,1,1,73,27,18,80,40,20,67,17,17,45,60,33,9,18,0,33,55,60,50,27,40,17,36,20,50,6,2,4,55,40,67,6,3,3,55,60,50,2,1,1,18,20,17,36,40,33,27,20,33,36,40,33,4.64,5.60,3.83,1.18,0.6,1.67,73,64,36,18,18,18,18,0,1.79,1.86,1.74,1.03,0.85,1.17,100,1,0,3,1,4,4,2,2,3,1,2,2,2,0,6,2,2,2,9,0,17,45,40,50,0
