team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Argentina National Team,Argentina,2022,Argentina,17,9,8,0,11,6,5,6,3,3,0,0,0,2.29,2.33,2.25,2,0,0,2,27,8,19,35,16,19,14,13,2,6,12,7,57,58,55,191,409,120,10,7,3,7,2,5,2,1,1,13,7,6,78,45,33,30,12,18,59,63,56,219,133,86,108,59,49,111,74,37,217,120,97,19,9,10,4,2,2,15,7,8,12,6,6,5,3,2,0,0,0,2.41,2.33,2.5,2.06,1.78,2.38,1.59,1.56,1.63,0.47,0.22,0.75,1.35,1.22,1.5,1.12,1,1.25,0.24,0.22,0.25,15,11,7,2,0,0,8,5,3,0,0,0,7,6,4,2,0,0,2,6,10,15,17,17,1,4,6,9,9,9,1,2,4,6,8,8,88,65,41,12,0,0,89,56,33,0,0,0,88,75,50,25,0,0,12,35,59,88,100,100,11,44,67,100,100,100,12,25,50,75,100,100,15,7,1,8,3,0,7,4,1,88,41,6,89,33,0,88,50,13,65,67,63,26,59,78,38,41,22,63,12,11,13,76,78,75,13,7,6,76,78,75,2,1,1,12,11,13,4,2,2,24,22,25,71,67,75,29,33,25,0,0,0,4.59,5.00,4.13,1.76,1.33,2.25,76,59,53,24,12,6,0,0,1.69,1.91,1.43,1.14,0.88,1.43,35,4,3,4,3,5,0,2,4,2,0,1,2,1,0,1,0,0,3,35,33,38,0,0,0,0
Uruguay National Team,Uruguay,2022,Uruguay,18,9,9,0,8,5,3,4,2,2,6,2,4,1.56,1.89,1.22,3,0,0,3,22,22,0,44,19,25,12,10,7,15,5,-5,74,68,81,74,115,54,8,4,4,6,3,3,7,4,3,8,5,3,80,42,38,31,19,12,47,49,45,217,122,95,93,47,46,124,75,49,214,104,110,9,7,2,12,3,9,-3,4,-7,5,4,1,7,3,4,6,2,4,1.22,1.67,0.78,2.44,2.11,2.78,1.22,1.33,1.11,1.22,0.78,1.67,1.17,1.11,1.22,0.5,0.78,0.22,0.67,0.33,1,15,11,8,4,4,2,7,4,3,2,2,1,8,7,5,2,2,1,3,7,10,14,14,16,2,5,6,7,7,8,1,2,4,7,7,8,83,61,44,22,22,11,78,44,33,22,22,11,89,78,56,22,22,11,17,39,56,78,78,89,22,56,67,78,78,89,11,22,44,78,78,89,12,8,1,6,3,1,6,5,0,67,44,6,67,33,11,67,56,0,44,56,33,23,44,44,44,33,33,33,39,44,33,44,56,33,11,7,4,61,78,44,12,5,7,67,56,78,1,0,1,6,0,11,28,44,11,39,33,44,33,22,44,4.44,4.67,4.22,1.72,2.11,1.33,72,50,44,22,22,17,11,6,1.53,1.70,1.38,1.42,1.06,1.77,39,2,1,2,2,4,2,1,3,5,2,2,2,2,4,4,2,2,2,22,22,22,33,22,44,6
Ecuador National Team,Ecuador,2022,Ecuador,18,9,9,0,7,5,2,5,3,2,6,1,5,1.44,2,0.89,4,0,0,4,27,19,8,46,26,20,19,8,7,12,12,-4,60,43,101,85,115,68,6,4,2,9,5,4,5,1,4,8,5,3,89,55,34,44,25,19,52,56,47,214,124,90,80,45,35,134,79,55,258,130,128,13,10,3,8,3,5,5,7,-2,6,4,2,7,3,4,5,2,3,1.39,1.67,1.11,2.56,2.89,2.22,1.5,2.11,0.89,1.06,0.78,1.33,1.17,1.44,0.89,0.72,1.11,0.33,0.44,0.33,0.56,16,13,7,4,3,2,8,7,4,2,2,2,8,6,3,2,1,0,2,5,11,14,15,16,1,2,5,7,7,7,1,3,6,7,8,9,89,72,39,22,17,11,89,78,44,22,22,22,89,67,33,22,11,0,11,28,61,78,83,89,11,22,56,78,78,78,11,33,67,78,89,100,12,5,2,6,3,2,6,2,0,67,28,11,67,33,22,67,22,0,39,56,22,34,33,44,22,50,56,44,28,11,44,44,56,33,11,6,5,61,67,56,11,5,6,61,56,67,2,1,1,11,11,11,33,44,22,39,33,44,28,22,33,4.94,6.11,3.78,2.44,2.78,2.11,78,56,39,28,22,22,17,6,1.40,1.63,1.18,1.24,0.96,1.52,67,4,4,0,3,3,2,0,3,8,2,1,1,1,3,2,4,0,5,28,33,22,33,11,56,6
Brazil National Team,Brazil,2022,Brazil,17,8,9,0,14,8,6,3,0,3,0,0,0,2.65,3,2.33,1,0,0,1,40,5,35,45,24,21,23,17,1,4,22,13,38,31,48,310,692,205,13,7,6,4,1,3,2,0,2,13,8,5,68,43,25,35,17,18,59,65,54,247,140,107,124,71,53,123,69,54,222,112,110,16,9,7,2,0,2,14,9,5,9,5,4,7,3,4,1,0,1,2,2.25,1.78,2.65,3,2.33,2.35,2.88,1.89,0.29,0.13,0.44,1.06,1.13,1,0.94,1.13,0.78,0.12,0,0.22,15,12,7,7,3,1,8,6,4,4,2,0,7,6,3,3,1,1,2,5,10,10,14,16,0,2,4,4,6,8,2,3,6,6,8,8,88,71,41,41,18,6,100,75,50,50,25,0,78,67,33,33,11,11,12,29,59,59,82,94,0,25,50,50,75,100,22,33,67,67,89,89,11,7,0,5,4,0,6,3,0,65,41,0,63,50,0,67,33,0,82,100,67,39,76,88,67,24,13,33,12,0,22,76,100,56,15,8,7,88,100,78,7,3,4,41,38,44,1,0,1,6,0,11,53,63,44,41,38,44,6,0,11,4.00,5.38,2.78,2.06,2.13,2.00,71,47,35,24,6,6,0,0,1.97,2.42,1.58,1.03,0.79,1.25,53,3,3,4,2,5,1,7,4,11,1,1,0,0,0,1,0,2,0,18,0,33,0,0,0,0
Chile National Team,Chile,2022,Chile,18,9,9,0,5,3,2,4,2,2,9,4,5,1.06,1.22,0.89,7,0,0,7,19,26,-7,45,21,24,11,8,10,16,1,-8,85,74,101,63,81,51,5,3,2,8,3,5,6,3,3,6,4,2,83,44,39,54,29,25,54,57,51,207,114,93,77,44,33,130,70,60,266,135,131,10,7,3,13,4,9,-3,3,-6,3,3,0,9,4,5,6,2,4,1,1.44,0.56,2.5,2.33,2.67,1.06,1.22,0.89,1.44,1.11,1.78,1.28,1.22,1.33,0.56,0.78,0.33,0.72,0.44,1,17,15,8,4,1,0,9,8,3,1,0,0,8,7,5,3,1,0,1,3,10,14,17,18,0,1,6,8,9,9,1,2,4,6,8,9,94,83,44,22,6,0,100,89,33,11,0,0,89,78,56,33,11,0,6,17,56,78,94,100,0,11,67,89,100,100,11,22,44,67,89,100,12,9,2,5,4,2,7,5,0,67,50,11,56,44,22,78,56,0,28,33,22,19,28,33,22,44,33,56,33,33,33,33,44,22,8,6,2,44,67,22,11,5,6,61,56,67,5,2,3,28,22,33,17,33,0,50,44,56,33,22,44,4.61,4.89,4.33,3,3.22,2.78,61,56,56,33,33,33,33,22,1.37,1.52,1.23,1.39,1.18,1.59,56,0,5,0,4,1,3,2,3,1,4,2,1,4,2,0,2,3,8,22,22,22,50,44,56,11
Colombia National Team,Colombia,2022,Colombia,18,9,9,0,5,3,2,8,4,4,5,2,3,1.28,1.44,1.11,6,0,0,6,20,19,1,39,18,21,11,9,7,12,4,-3,81,74,90,85,115,68,8,5,3,6,2,4,8,5,3,7,3,4,97,57,40,45,18,27,53,59,47,227,133,94,90,50,40,137,83,54,270,137,133,10,6,4,11,3,8,-1,3,-4,5,3,2,7,4,3,6,2,4,1.22,1.44,1,2.17,2,2.33,1.11,1.22,1,1.06,0.78,1.33,1.17,1,1.33,0.56,0.67,0.44,0.61,0.33,0.89,14,10,8,4,1,1,6,5,5,2,0,0,8,5,3,2,1,1,4,8,10,14,17,17,3,4,4,7,9,9,1,4,6,7,8,8,78,56,44,22,6,6,67,56,56,22,0,0,89,56,33,22,11,11,22,44,56,78,94,94,33,44,44,78,100,100,11,44,67,78,89,89,11,5,3,5,3,1,6,2,2,61,28,17,56,33,11,67,22,22,28,33,22,18,44,56,33,33,22,44,44,56,33,39,33,44,12,7,5,67,78,56,11,6,5,61,67,56,2,0,2,11,0,22,28,33,22,39,44,33,33,22,44,5.39,6.33,4.44,2.5,2,3.00,83,67,61,50,33,28,17,11,1.49,1.72,1.25,1.31,1.01,1.60,61,1,3,1,2,4,3,1,2,3,5,0,1,4,1,2,0,3,3,44,44,44,28,22,33,11
Bolivia National Team,Bolivia,2022,Bolivia,18,9,9,0,4,4,0,3,1,2,11,4,7,0.83,1.44,0.22,9,0,0,9,23,42,-19,65,31,34,17,6,14,28,3,-22,70,48,134,39,58,29,3,3,0,9,5,4,6,1,5,6,6,0,64,49,15,52,28,24,42,51,34,208,144,64,85,58,27,123,86,37,210,116,94,10,7,3,20,5,15,-10,2,-12,4,3,1,6,5,1,8,1,7,1,1.56,0.44,3.61,3.44,3.78,1.28,1.89,0.67,2.33,1.56,3.11,1.67,1.33,2,0.56,0.78,0.33,1.11,0.56,1.67,18,17,15,9,5,1,9,8,7,5,2,0,9,9,8,4,3,1,0,1,3,9,13,17,0,1,2,4,7,9,0,0,1,5,6,8,100,94,83,50,28,6,100,89,78,56,22,0,100,100,89,44,33,11,0,6,17,50,72,94,0,11,22,44,78,100,0,0,11,56,67,89,15,11,4,7,5,0,8,6,4,83,61,22,78,56,0,89,67,44,22,44,0,41,17,33,0,50,56,44,33,11,56,33,67,0,6,5,1,33,56,11,10,3,7,56,33,78,5,3,2,28,33,22,22,33,11,33,56,11,44,11,78,3.56,5.44,1.67,2.89,3.11,2.67,100,78,61,44,17,17,17,6,1.21,1.67,0.75,1.92,1.48,2.35,89,1,0,3,3,3,4,0,1,8,1,8,4,5,5,2,7,5,5,17,11,22,61,44,78,0
Peru National Team,Peru,2022,Peru,18,9,9,0,7,4,3,3,2,1,8,3,5,1.33,1.56,1.11,5,0,0,5,19,22,-3,41,23,18,12,7,11,11,1,-4,85,68,115,74,74,74,5,4,1,6,3,3,7,2,5,10,6,4,63,33,30,45,24,21,45,50,40,177,97,80,85,48,37,92,49,43,247,130,117,10,9,1,12,6,6,-2,3,-5,5,4,1,6,2,4,7,3,4,1.17,1.56,0.78,2.28,2.56,2,1.06,1.33,0.78,1.22,1.22,1.22,1.22,1.67,0.78,0.56,1,0.11,0.67,0.67,0.67,18,13,6,2,1,1,9,8,3,1,1,1,9,5,3,1,0,0,0,5,12,16,17,17,0,1,6,8,8,8,0,4,6,8,9,9,100,72,33,11,6,6,100,89,33,11,11,11,100,56,33,11,0,0,0,28,67,89,94,94,0,11,67,89,89,89,0,44,67,89,100,100,14,7,1,9,5,1,5,2,0,78,39,6,100,56,11,56,22,0,39,44,33,0,28,44,11,33,33,33,39,22,56,56,67,44,9,4,5,50,44,56,11,3,8,61,33,89,2,2,0,11,22,0,28,44,11,33,22,44,39,33,44,3.50,3.67,3.33,2.5,2.67,2.33,61,44,39,28,22,22,11,11,0.99,1.12,0.87,1.51,1.29,1.74,50,3,1,1,4,1,2,4,0,3,1,3,3,3,3,2,2,0,5,17,22,11,44,33,56,6
Paraguay National Team,Paraguay,2022,Paraguay,18,9,9,0,3,2,1,7,4,3,8,3,5,0.89,1.11,0.67,8,0,0,8,12,26,-14,38,21,17,10,2,11,15,-1,-13,134,81,409,63,74,54,4,1,3,6,5,1,11,4,7,6,4,2,67,37,30,53,29,24,46,50,43,168,93,75,63,40,23,105,53,52,243,142,101,6,5,1,8,3,5,-2,2,-4,3,3,0,10,4,6,5,2,3,1.06,1.44,0.67,2.11,2.33,1.89,0.67,1.11,0.22,1.44,1.22,1.67,0.78,0.89,0.67,0.33,0.56,0.11,0.44,0.33,0.56,15,12,6,5,0,0,8,6,4,3,0,0,7,6,2,2,0,0,3,6,12,13,18,18,1,3,5,6,9,9,2,3,7,7,9,9,83,67,33,28,0,0,89,67,44,33,0,0,78,67,22,22,0,0,17,33,67,72,100,100,11,33,56,67,100,100,22,33,78,78,100,100,9,4,1,5,2,1,4,2,0,50,22,6,56,22,11,44,22,0,17,22,11,41,22,11,33,33,56,11,61,44,78,33,44,22,12,7,5,67,78,56,13,5,8,72,56,89,2,1,1,11,11,11,17,33,0,56,44,67,28,22,33,3.72,4.11,3.33,2.94,3.22,2.67,61,61,56,39,28,28,17,6,0.91,1.06,0.76,1.59,1.56,1.63,44,2,1,1,1,2,1,1,1,2,2,0,2,0,5,4,2,1,10,39,44,33,44,33,56,6
Venezuela National Team,Venezuela,2022,Venezuela,18,9,9,0,3,3,0,1,1,0,14,5,9,0.56,1.11,0,10,0,0,10,14,34,-20,48,24,24,11,3,13,21,-2,-18,115,74,273,48,63,39,1,1,0,9,6,3,9,3,6,3,3,0,78,53,25,48,21,27,43,42,44,205,123,82,82,52,30,123,71,52,264,126,138,6,5,1,19,6,13,-13,-1,-12,2,2,0,6,4,2,10,3,7,0.67,1.11,0.22,2.67,2.67,2.67,0.78,1.22,0.33,1.89,1.44,2.33,1.39,1.22,1.56,0.33,0.56,0.11,1.06,0.67,1.44,17,12,12,5,2,0,8,6,6,3,1,0,9,6,6,2,1,0,1,6,6,13,16,18,1,3,3,6,8,9,0,3,3,7,8,9,94,67,67,28,11,0,89,67,67,33,11,0,100,67,67,22,11,0,6,33,33,72,89,100,11,33,33,67,89,100,0,33,33,78,89,100,15,7,3,7,3,1,8,4,2,83,39,17,78,33,11,89,44,22,17,33,0,40,6,11,0,50,67,33,50,33,67,17,33,0,4,3,1,22,33,11,13,5,8,72,56,89,4,3,1,22,33,11,11,22,0,33,44,22,56,33,78,4.33,5.89,2.78,2.67,2.33,3.00,78,67,61,44,39,33,22,11,1.17,1.39,0.95,1.60,1.48,1.71,56,1,1,2,1,1,2,3,0,3,3,4,2,5,6,2,2,5,5,6,11,0,78,56,100,0
